LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2020112304	525.268662534549
Oahu	2020112306	624.902500449216
Oahu	2020112308	809.933490535913
Oahu	2020112310	894.747442576238
Oahu	2020112312	887.314642046543
Oahu	2020112314	873.215171653228
Oahu	2020112316	909.555882205774
Oahu	2020112318	1027.52011344147
Oahu	2020112320	905.564981448107
Oahu	2020112322	713.901660232209
Oahu	2020122300	555.22851037275
Oahu	2020122302	491.180698589359
Oahu	2020122304	560.694511032715
Oahu	2020122306	785.59961160826
Oahu	2020122308	931.156691009269
Oahu	2020122310	997.525926868853
Oahu	2020122312	998.715219621877
Oahu	2020122314	989.418495837354
Oahu	2020122316	968.526586475905
Oahu	2020122318	1044.39829934982
Oahu	2020122320	939.218476649895
Oahu	2020122322	762.306363839502
Oahu	2025012300	539.480249516481
Oahu	2025012302	495.335057795187
Oahu	2025012304	567.528530334003
Oahu	2025012306	816.393920561018
Oahu	2025012308	881.074888324219
Oahu	2025012310	915.442629012794
Oahu	2025012312	924.785308612002
Oahu	2025012314	917.18171474684
Oahu	2025012316	910.366819096053
Oahu	2025012318	1001.13450486426
Oahu	2025012320	887.626884570214
Oahu	2025012322	684.089733386057
Oahu	2025022300	574.97031146692
Oahu	2025022302	512.48350460465
Oahu	2025022304	526.69975906203
Oahu	2025022306	641.157828589225
Oahu	2025022308	822.834709124516
Oahu	2025022310	897.879591076244
Oahu	2025022312	900.740998072154
Oahu	2025022314	896.464007379738
Oahu	2025022316	910.498268798449
Oahu	2025022318	962.57061813592
Oahu	2025022320	885.149643958067
Oahu	2025022322	740.843543533081
Oahu	2025032300	571.522441315203
Oahu	2025032302	513.696853242587
Oahu	2025032304	525.284237079
Oahu	2025032306	607.154073977988
Oahu	2025032308	772.137459443752
Oahu	2025032310	823.562742992668
Oahu	2025032312	830.86295341324
Oahu	2025032314	827.243149519328
Oahu	2025032316	841.226867601766
Oahu	2025032318	888.506548447187
Oahu	2025032320	850.569547200973
Oahu	2025032322	697.213967897946
Oahu	2025042300	548.742022749566
Oahu	2025042302	504.374415663279
Oahu	2025042304	564.394102923351
Oahu	2025042306	794.139300804964
Oahu	2025042308	919.173578875727
Oahu	2025042310	978.364207308575
Oahu	2025042312	999.051551645828
Oahu	2025042314	1003.40951041784
Oahu	2025042316	991.993998610149
Oahu	2025042318	993.217529971511
Oahu	2025042320	936.362509724989
Oahu	2025042322	717.183461090471
Oahu	2025052300	612.543326635795
Oahu	2025052302	565.39509549277
Oahu	2025052304	635.687731278771
Oahu	2025052306	862.369287105905
Oahu	2025052308	989.911168818664
Oahu	2025052310	1041.26554358446
Oahu	2025052312	1051.58909716013
Oahu	2025052314	1039.829841295
Oahu	2025052316	994.562266598369
Oahu	2025052318	969.334908736958
Oahu	2025052320	923.946128774828
Oahu	2025052322	760.378265292095
Oahu	2025062300	594.778053640676
Oahu	2025062302	547.235473390463
Oahu	2025062304	609.691978936359
Oahu	2025062306	817.091591399321
Oahu	2025062308	955.806327534882
Oahu	2025062310	1026.92802214811
Oahu	2025062312	1046.87727332073
Oahu	2025062314	1048.66696410453
Oahu	2025062316	1024.34963314994
Oahu	2025062318	995.704829880133
Oahu	2025062320	979.729185955333
Oahu	2025062322	774.169807612438
Oahu	2025072300	647.022275006866
Oahu	2025072302	594.292738870891
Oahu	2025072304	649.064744185502
Oahu	2025072306	851.78289583891
Oahu	2025072308	981.185253691637
Oahu	2025072310	1053.47987461648
Oahu	2025072312	1068.15114252727
Oahu	2025072314	1062.76182815599
Oahu	2025072316	1048.91974249937
Oahu	2025072318	1017.4741348664
Oahu	2025072320	985.371278721457
Oahu	2025072322	792.046288290054
Oahu	2025082300	639.135601430488
Oahu	2025082302	576.42631748975
Oahu	2025082304	590.046049494849
Oahu	2025082306	703.311012404005
Oahu	2025082308	893.673324026525
Oahu	2025082310	964.774900046801
Oahu	2025082312	970.285419683578
Oahu	2025082314	964.906349749197
Oahu	2025082316	957.12070113189
Oahu	2025082318	942.500038270848
