GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_OnshoreWind_OnWind_410,Oahu,OnshoreWind,480393.200137,2.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_501,Oahu,OnshoreWind,491164.057847,242.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_502,Oahu,OnshoreWind,483534.673017,42.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_503,Oahu,OnshoreWind,476877.903837,117.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_504,Oahu,OnshoreWind,465647.713974,20.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_505,Oahu,OnshoreWind,485205.310217,42.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_506,Oahu,OnshoreWind,493087.509287,7.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_507,Oahu,OnshoreWind,478714.058287,10.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_508,Oahu,OnshoreWind,480337.156477,2.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_509,Oahu,OnshoreWind,477757.814027,2.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_Kahuku,Oahu,OnshoreWind,491684.042887,30.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
