GENERATION_PROJECT	SPINNING_RESERVE_TYPE
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9	regulation
Oahu_Waiau_10	contingency
Oahu_Waiau_10	regulation
Oahu_Waiau_6	contingency
Oahu_Waiau_6	regulation
Oahu_Waiau_7	contingency
Oahu_Waiau_7	regulation
Oahu_Waiau_8	contingency
Oahu_Waiau_8	regulation
Oahu_Waiau_9	contingency
Oahu_Waiau_9	regulation
