load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2025-02-23-06:00,577.042,0,641.158,0,0,-64.1158
Oahu,2025-02-23-08:00,911.407,0,822.835,126.138,0,-37.566
Oahu,2025-02-23-10:00,1076.75,0,897.88,0,0,178.868
Oahu,2025-02-23-12:00,1210.78,0,900.741,32.5393,284.268,-6.76995
Oahu,2025-02-23-14:00,1134.37,0,896.464,126.138,0,111.768
Oahu,2025-02-23-16:00,973.877,0,910.498,0,0,63.3785
Oahu,2025-02-23-18:00,866.314,0,962.571,0,0,-96.2571
Oahu,2025-02-23-20:00,796.635,0,885.15,0,0,-88.515
Oahu,2025-02-23-22:00,666.759,0,740.844,0,0,-74.0844
Oahu,2025-03-23-00:00,515.756,0,571.522,1.38625,0,-57.1522
Oahu,2025-03-23-02:00,513.163,0,513.697,0,0,-0.533425
Oahu,2025-03-23-04:00,472.756,0,525.284,0,0,-52.5284
Oahu,2025-03-23-06:00,585.446,0,607.154,0,0,-21.7079
Oahu,2025-03-23-08:00,965.666,0,772.137,126.138,144.604,-77.2137
Oahu,2025-03-23-10:00,1132.41,0,823.563,0,139.664,169.185
Oahu,2025-03-23-12:00,1123.23,0,830.863,126.138,0,166.231
Oahu,2025-03-23-14:00,924.361,0,827.243,34.4013,0,62.7167
Oahu,2025-03-23-16:00,895.859,0,841.227,0,0,54.6321
Oahu,2025-03-23-18:00,799.656,0,888.507,0,0,-88.8507
Oahu,2025-03-23-20:00,765.513,0,850.57,0,0,-85.057
Oahu,2025-03-23-22:00,627.493,0,697.214,0,0,-69.7214
Oahu,2025-04-23-00:00,552.396,0,548.742,21.0036,0,-17.3491
Oahu,2025-04-23-02:00,506.768,0,504.374,52.8314,0,-50.4374
Oahu,2025-04-23-04:00,507.955,0,564.394,0,0,-56.4394
Oahu,2025-04-23-06:00,714.725,0,794.139,0,0,-79.4139
Oahu,2025-04-23-08:00,1062.49,0,919.174,126.138,0,17.1735
