ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2025122300,112.201272003
Oahu,2025122302,87.9741240187
Oahu,2025122304,-3.40959072002
Oahu,2025122306,-76.3189128952
Oahu,2025122308,-89.1893754253
Oahu,2025122310,6.56295074068
Oahu,2025122312,-51.4633720644
Oahu,2025122314,287.448326494
Oahu,2025122316,-10.4414955233
Oahu,2025122318,-99.202436164
Oahu,2025122320,-89.9022154358
Oahu,2025122322,-74.2592750277
Oahu,2030012300,-60.8605083422
Oahu,2030012302,8.93135064207
Oahu,2030012304,-62.6919087166
Oahu,2030012306,-78.9414668198
Oahu,2030012308,-83.1647826568
Oahu,2030012310,349.369206597
Oahu,2030012312,26.6087859328
Oahu,2030012314,230.72604793
Oahu,2030012316,-85.0773866175
Oahu,2030012318,-91.0040234328
Oahu,2030012320,-83.5925924201
Oahu,2030012322,-70.3027220958
Oahu,2030022300,-30.6039888533
Oahu,2030022302,-59.0977675503
Oahu,2030022304,-60.0260117413
Oahu,2030022306,-67.4995019259
Oahu,2030022308,126.956097737
Oahu,2030022310,83.1085151401
Oahu,2030022312,-84.4488727937
Oahu,2030022314,196.56246942
Oahu,2030022316,140.974351349
Oahu,2030022318,-88.486011115
Oahu,2030022320,-83.4308420649
Oahu,2030022322,-74.0084376022
Oahu,2030032300,-62.9526894081
Oahu,2030032302,-59.1769926252
Oahu,2030032304,-59.9335858451
Oahu,2030032306,-65.2792414639
Oahu,2030032308,-76.0517603173
Oahu,2030032310,526.524620719
Oahu,2030032312,-79.8862160668
Oahu,2030032314,193.301430973
Oahu,2030032316,-80.5629233648
Oahu,2030032318,-83.6500296928
Oahu,2030032320,-81.1729495916
Oahu,2030032322,-71.1596633164
Oahu,2030042300,-61.4652518228
Oahu,2030042302,-58.5682880924
Oahu,2030042304,-62.4872476334
Oahu,2030042306,-77.4883610405
Oahu,2030042308,42.293785783
Oahu,2030042310,-89.5172466945
Oahu,2030042312,256.242500303
Oahu,2030042314,263.193075346
Oahu,2030042316,37.5224485771
Oahu,2030042318,-90.4870879787
Oahu,2030042320,-86.7747640026
Oahu,2030042322,-72.4635627442
Oahu,2030052300,-65.6311303871
Oahu,2030052302,-50.2771227126
Oahu,2030052304,-67.142334286
Oahu,2030052306,-81.9434085092
Oahu,2030052308,219.440051345
Oahu,2030052310,302.028719335
Oahu,2030052312,-94.2984342319
Oahu,2030052314,178.574224561
Oahu,2030052316,-90.5748919756
Oahu,2030052318,-88.9276825465
Oahu,2030052320,-85.9640417744
Oahu,2030052322,-75.2839488172
Oahu,2030062300,-64.4711545645
Oahu,2030062302,-61.3668823335
Oahu,2030062304,-65.4449528714
Oahu,2030062306,-78.9870209356
Oahu,2030062308,189.65815159
Oahu,2030062310,92.9580780862
Oahu,2030062312,-93.9907777306
Oahu,2030062314,199.691280715
Oahu,2030062316,138.393607193
Oahu,2030062318,-90.6494951513
Oahu,2030062320,-89.6063723854
Oahu,2030062322,-76.1844616127
Oahu,2030072300,16.9806301411
Oahu,2030072302,-64.4394661464
Oahu,2030072304,-68.0157805627
Oahu,2030072306,-81.2521746665
Oahu,2030072308,63.4369701649
Oahu,2030072310,141.098842602
Oahu,2030072312,275.990698322
Oahu,2030072314,-95.0279528738
Oahu,2030072316,70.6256146192
Oahu,2030072318,-92.0709125124
Oahu,2030072320,-89.9747703942
Oahu,2030072322,-77.3516986929
Oahu,2030082300,-67.3674614775
Oahu,2030082302,-63.2728858836
Oahu,2030082304,-64.1621803988
Oahu,2030082306,-71.5577672025
Oahu,2030082308,250.409630894
Oahu,2030082310,89.3488405365
Oahu,2030082312,-88.9897457479
Oahu,2030082314,259.316301749
Oahu,2030082316,5.6580371312
Oahu,2030082318,-87.1755112766
Oahu,2030082320,-85.3216622529
Oahu,2030082322,-76.8855960713
Oahu,2030092300,-64.8897245589
Oahu,2030092302,-62.207979345
Oahu,2030092304,-67.1720401633
Oahu,2030092306,-81.6634793738
Oahu,2030092308,214.304141221
Oahu,2030092310,-92.7826044042
Oahu,2030092312,282.751994075
Oahu,2030092314,-94.4284921394
Oahu,2030092316,223.772997481
Oahu,2030092318,-95.8320827505
Oahu,2030092320,-87.7756328579
Oahu,2030092322,-74.0770971847
Oahu,2030102300,-64.5550015387
Oahu,2030102302,-61.7326369544
Oahu,2030102304,-65.5413438493
Oahu,2030102306,-79.7984080403
Oahu,2030102308,90.6502980444
Oahu,2030102310,356.64918175
Oahu,2030102312,259.843661314
Oahu,2030102314,-91.608110096
Oahu,2030102316,-90.3312731576
Oahu,2030102318,-93.7564027111
Oahu,2030102320,-86.0089310138
Oahu,2030102322,-73.811033747
Oahu,2030112300,-61.8534510634
Oahu,2030112302,-59.0357083784
Oahu,2030112304,-60.4373204781
Oahu,2030112306,-66.1896629345
Oahu,2030112308,1.81278589072
Oahu,2030112310,265.083119024
Oahu,2030112312,318.170799076
Oahu,2030112314,-80.5259522004
