load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2020-11-23-00:00	494.817	0	0	549.797	0	0	-54.9797
Oahu	2020-11-23-02:00	550.364	0	0	500.992	0	67.6342	-18.2625
Oahu	2020-11-23-04:00	523.209	0	0	525.269	0	50.4676	-52.5269
Oahu	2020-11-23-06:00	562.412	0	0	624.903	0	0	-62.4903
Oahu	2020-11-23-08:00	903.733	0	0	809.933	31.9142	0	61.8849
Oahu	2020-11-23-10:00	999.415	0	0	894.747	6.4386	0	98.229
Oahu	2020-11-23-12:00	1080.48	0	0	887.315	31.9142	0	161.255
Oahu	2020-11-23-14:00	1028.85	0	0	873.215	0	0	155.639
Oahu	2020-11-23-16:00	818.6	0	0	909.556	0	0	-90.9556
Oahu	2020-11-23-18:00	924.768	0	0	1027.52	0	0	-102.752
Oahu	2020-11-23-20:00	815.008	0	0	905.565	0	0	-90.5565
Oahu	2020-11-23-22:00	741.331	0	0	713.902	31.9142	0	-4.48509
Oahu	2020-12-23-00:00	701.277	0	0	555.229	0	0	146.049
Oahu	2020-12-23-02:00	676.511	0	0	491.181	17.6774	0	167.652
Oahu	2020-12-23-04:00	658.522	0	0	560.695	0	3.62999	94.1976
Oahu	2020-12-23-06:00	707.04	0	0	785.6	0	0	-78.56
Oahu	2020-12-23-08:00	838.041	0	0	931.157	0	0	-93.1157
Oahu	2020-12-23-10:00	956.898	0	0	997.526	0.254564	58.8699	-99.7526
Oahu	2020-12-23-12:00	1055.11	0	0	998.715	0.254564	0	56.143
Oahu	2020-12-23-14:00	1148.21	0	0	989.418	30.1527	0	128.635
Oahu	2020-12-23-16:00	927.276	0	0	968.527	0	55.6019	-96.8527
Oahu	2020-12-23-18:00	939.958	0	0	1044.4	0	0	-104.44
Oahu	2020-12-23-20:00	845.297	0	0	939.218	0	0	-93.9218
Oahu	2020-12-23-22:00	736.272	0	0	762.306	0	0	-26.0345
Oahu	2025-01-23-00:00	562.925	0	0	539.48	17.7892	59.6031	-53.948
Oahu	2025-01-23-02:00	559.351	0	0	495.335	0	79.4602	-15.4447
Oahu	2025-01-23-04:00	554.438	0	0	567.529	0	0	-13.0909
Oahu	2025-01-23-06:00	734.755	0	0	816.394	0	0	-81.6394
Oahu	2025-01-23-08:00	936.645	0	0	881.075	128.639	0	-73.0695
Oahu	2025-01-23-10:00	1229.09	0	0	915.443	35.0834	0	278.563
Oahu	2025-01-23-12:00	1165.23	0	0	924.785	0	0	240.448
Oahu	2025-01-23-14:00	1099.31	0	0	917.182	128.639	145.205	-91.7182
Oahu	2025-01-23-16:00	977.551	0	0	910.367	0	0	67.1842
