BALANCING_AREA_TIMEPOINTS_1	BALANCING_AREA_TIMEPOINTS_2	MaximumContingencyDown
system_wide_balancing_area	2025082302	57.642631749
system_wide_balancing_area	2025082304	59.0046049495
system_wide_balancing_area	2025082306	70.3311012404
system_wide_balancing_area	2025082308	89.3673324027
system_wide_balancing_area	2025082310	96.4774900047
system_wide_balancing_area	2025082312	97.0285419684
system_wide_balancing_area	2025082314	96.4906349749
system_wide_balancing_area	2025082316	95.7120701132
system_wide_balancing_area	2025082318	94.2500038271
system_wide_balancing_area	2025082320	91.4107951682
system_wide_balancing_area	2025082322	78.4907828888
system_wide_balancing_area	2025092300	60.1188540888
system_wide_balancing_area	2025092302	56.0117050517
system_wide_balancing_area	2025092304	63.6142683019
system_wide_balancing_area	2025092306	85.808211369
system_wide_balancing_area	2025092308	97.6999228662
system_wide_balancing_area	2025092310	102.837384545
system_wide_balancing_area	2025092312	105.229682729
system_wide_balancing_area	2025092314	105.358096129
system_wide_balancing_area	2025092316	103.056800635
system_wide_balancing_area	2025092318	107.507724586
system_wide_balancing_area	2025092320	95.1691026148
system_wide_balancing_area	2025092322	74.1895079439
system_wide_balancing_area	2025102300	59.6062187635
system_wide_balancing_area	2025102302	55.2837082117
system_wide_balancing_area	2025102304	61.1168226979
system_wide_balancing_area	2025102306	82.9518155073
system_wide_balancing_area	2025102308	94.1135059624
system_wide_balancing_area	2025102310	99.4946494696
system_wide_balancing_area	2025102312	101.5310337
system_wide_balancing_area	2025102314	101.03862188
system_wide_balancing_area	2025102316	99.0831193308
system_wide_balancing_area	2025102318	104.328777074
system_wide_balancing_area	2025102320	92.463361689
system_wide_balancing_area	2025102322	73.7820262091
system_wide_balancing_area	2025112300	55.4687375533
system_wide_balancing_area	2025112302	51.1533055372
system_wide_balancing_area	2025112304	53.2999038627
system_wide_balancing_area	2025112306	62.1097369734
system_wide_balancing_area	2025112308	78.4705655543
system_wide_balancing_area	2025112310	85.9699932445
system_wide_balancing_area	2025112312	85.3127694179
system_wide_balancing_area	2025112314	84.0660646466
system_wide_balancing_area	2025112316	87.2793865641
system_wide_balancing_area	2025112318	97.7100315334
system_wide_balancing_area	2025112320	86.9265027409
system_wide_balancing_area	2025112322	69.9792295183
system_wide_balancing_area	2025122300	55.9490165035
system_wide_balancing_area	2025122302	50.2857745294
system_wide_balancing_area	2025122304	56.4323317567
system_wide_balancing_area	2025122306	76.3189128952
system_wide_balancing_area	2025122308	89.1893754253
system_wide_balancing_area	2025122310	95.0578825896
system_wide_balancing_area	2025122312	95.1630423515
system_wide_balancing_area	2025122314	94.3410065178
system_wide_balancing_area	2025122316	92.4937000334
system_wide_balancing_area	2025122318	99.202436164
system_wide_balancing_area	2025122320	89.9022154358
system_wide_balancing_area	2025122322	74.2592750277
system_wide_balancing_area	2030012300	60.8605083422
system_wide_balancing_area	2030012302	57.9780671269
system_wide_balancing_area	2030012304	62.6919087166
system_wide_balancing_area	2030012306	78.9414668198
system_wide_balancing_area	2030012308	83.1647826568
system_wide_balancing_area	2030012310	85.4088094324
system_wide_balancing_area	2030012312	86.0188356592
system_wide_balancing_area	2030012314	85.5223622838
system_wide_balancing_area	2030012316	85.0773866175
system_wide_balancing_area	2030012318	91.0040234328
system_wide_balancing_area	2030012320	83.5925924201
system_wide_balancing_area	2030012322	70.3027220958
system_wide_balancing_area	2030022300	63.1778165996
system_wide_balancing_area	2030022302	59.0977675503
system_wide_balancing_area	2030022304	60.0260117413
system_wide_balancing_area	2030022306	67.4995019259
system_wide_balancing_area	2030022308	79.3620153255
system_wide_balancing_area	2030022310	84.2620384605
system_wide_balancing_area	2030022312	84.4488727937
system_wide_balancing_area	2030022314	84.1696085348
system_wide_balancing_area	2030022316	85.085969569
system_wide_balancing_area	2030022318	88.486011115
system_wide_balancing_area	2030022320	83.4308420649
system_wide_balancing_area	2030022322	74.0084376022
system_wide_balancing_area	2030032300	62.9526894081
system_wide_balancing_area	2030032302	59.1769926252
system_wide_balancing_area	2030032304	59.9335858451
system_wide_balancing_area	2030032306	65.2792414639
system_wide_balancing_area	2030032308	76.0517603173
system_wide_balancing_area	2030032310	79.4095519823
system_wide_balancing_area	2030032312	79.8862160668
system_wide_balancing_area	2030032314	79.6498625359
system_wide_balancing_area	2030032316	80.5629233648
system_wide_balancing_area	2030032318	83.6500296928
system_wide_balancing_area	2030032320	81.1729495916
system_wide_balancing_area	2030032322	71.1596633164
system_wide_balancing_area	2030042300	61.4652518228
system_wide_balancing_area	2030042302	58.5682880924
system_wide_balancing_area	2030042304	62.4872476334
system_wide_balancing_area	2030042306	77.4883610405
system_wide_balancing_area	2030042308	85.6524201913
system_wide_balancing_area	2030042310	89.5172466945
system_wide_balancing_area	2030042312	90.8680179026
system_wide_balancing_area	2030042314	91.1525689373
system_wide_balancing_area	2030042316	90.4071980272
system_wide_balancing_area	2030042318	90.4870879787
system_wide_balancing_area	2030042320	86.7747640026
system_wide_balancing_area	2030042322	72.4635627442
system_wide_balancing_area	2030052300	65.6311303871
system_wide_balancing_area	2030052302	62.5526070106
system_wide_balancing_area	2030052304	67.142334286
system_wide_balancing_area	2030052306	81.9434085092
system_wide_balancing_area	2030052308	90.2712005561
system_wide_balancing_area	2030052310	93.6243622627
system_wide_balancing_area	2030052312	94.2984342319
system_wide_balancing_area	2030052314	93.5306187022
system_wide_balancing_area	2030052316	90.5748919756
system_wide_balancing_area	2030052318	88.9276825465
system_wide_balancing_area	2030052320	85.9640417744
system_wide_balancing_area	2030052322	75.2839488172
system_wide_balancing_area	2030062300	64.4711545645
system_wide_balancing_area	2030062302	61.3668823335
system_wide_balancing_area	2030062304	65.4449528714
system_wide_balancing_area	2030062306	78.9870209356
system_wide_balancing_area	2030062308	88.0443396835
system_wide_balancing_area	2030062310	92.6881999967
system_wide_balancing_area	2030062312	93.9907777306
system_wide_balancing_area	2030062314	94.1076348169
system_wide_balancing_area	2030062316	92.5198452014
system_wide_balancing_area	2030062318	90.6494951513
