GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_OnshoreWind_OnWind_107,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_201,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_201,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_201,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_201,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_201,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_201,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_202,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_202,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_202,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_202,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_202,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_202,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_203,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_203,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_203,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_203,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_203,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_203,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_204,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_204,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_204,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_204,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_204,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_204,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_205,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_205,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_205,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_205,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_205,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_205,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_206,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_206,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_206,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_206,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_206,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_206,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_207,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_207,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_207,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_207,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_207,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_207,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_208,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_208,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_208,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_208,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_208,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_208,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_209,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_209,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_209,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_209,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_209,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_209,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_301,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_301,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_301,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_301,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_301,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_301,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_302,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_302,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_302,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_302,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_302,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_302,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_303,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_303,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_303,2030,2233664.86748,.,27400.0
