GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_min_uptime	gen_min_downtime	gen_startup_fuel	gen_storage_efficiency	gen_storage_energy_to_power_ratio	gen_storage_max_cycles_per_year
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3	Oahu	SlopedDistPV	0.0	80.6144815890771	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4	Oahu	SlopedDistPV	0.0	76.8513750500461	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5	Oahu	SlopedDistPV	0.0	78.5305690050456	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6	Oahu	SlopedDistPV	0.0	164.176494183467	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7	Oahu	SlopedDistPV	0.0	169.001224189076	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8	Oahu	SlopedDistPV	0.0	281.051457178677	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9	Oahu	SlopedDistPV	0.0	110.952479857151	.	20	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_Waiau_10	Oahu	Waiau_10	0.0	49.9	49.9	77	0.0	0	0	0	0	3.55519713261649	multiple	.	1.0	1.0	0.661322645290581	.	.	.
Oahu_Waiau_6	Oahu	Waiau_6	0.0	53.5	53.5	61	0.0	0	0	0	0	0.32	multiple	.	3.0	5.0	5.17757009345794	.	.	.
Oahu_Waiau_7	Oahu	Waiau_7	0.0	82.9	82.9	56	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	11.254523522316	.	.	.
Oahu_Waiau_8	Oahu	Waiau_8	0.0	86.1	86.1	54	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	10.8362369337979	.	.	.
Oahu_Waiau_9	Oahu	Waiau_9	0.0	52.9	52.9	77	0.0	0	0	0	0	3.37380952380952	multiple	.	1.0	1.0	0.680529300567108	.	.	.
