GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_land_class,gen_land_area,gen_slope_class
Oahu_CentralTrackingPV_PV_07_C_00_15,Oahu,CentralTrackingPV,9319.035961216023,18.812387496874052,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,570983.2384919979,00_to_15
Oahu_CentralTrackingPV_PV_07_C_15_17,Oahu,CentralTrackingPV,10344.877454452233,2.9809354215856456,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,90475.71240148564,15_to_17
Oahu_CentralTrackingPV_PV_07_C_17_20,Oahu,CentralTrackingPV,10489.538575344797,2.437134609468998,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,73970.56924256781,17_to_20
Oahu_CentralTrackingPV_PV_07_X_00_15,Oahu,CentralTrackingPV,9659.47251449209,183.7283336988876,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,5576421.333845102,00_to_15
Oahu_CentralTrackingPV_PV_07_X_15_17,Oahu,CentralTrackingPV,9532.193105355806,19.33384870050691,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,586810.3421410004,15_to_17
Oahu_CentralTrackingPV_PV_07_X_17_20,Oahu,CentralTrackingPV,9545.50843745951,18.69746156253818,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,567495.0697422995,17_to_20
Oahu_CentralTrackingPV_PV_08_B_00_15,Oahu,CentralTrackingPV,16352.762541522095,350.98493453264297,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,10652901.691220786,00_to_15
Oahu_CentralTrackingPV_PV_08_B_15_17,Oahu,CentralTrackingPV,15061.491180498368,21.11901473827388,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,640992.7198779827,15_to_17
Oahu_CentralTrackingPV_PV_08_B_17_20,Oahu,CentralTrackingPV,15069.94959712104,14.843241769783551,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,450513.91041349695,17_to_20
Oahu_CentralTrackingPV_PV_08_C_00_15,Oahu,CentralTrackingPV,16846.853899144062,100.62389920038859,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,3054081.2453856342,00_to_15
Oahu_CentralTrackingPV_PV_08_C_15_17,Oahu,CentralTrackingPV,16645.79671418835,14.699730030056742,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,446158.1210207657,15_to_17
Oahu_CentralTrackingPV_PV_08_C_17_20,Oahu,CentralTrackingPV,16402.05667412526,10.62130543588456,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,322372.0208719784,17_to_20
Oahu_CentralTrackingPV_PV_08_X_00_15,Oahu,CentralTrackingPV,16008.342254887537,158.91466972125528,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,4823290.652311194,00_to_15
Oahu_CentralTrackingPV_PV_08_X_15_17,Oahu,CentralTrackingPV,16234.750363176334,46.595323841882205,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,1414235.6418206957,15_to_17
Oahu_CentralTrackingPV_PV_08_X_17_20,Oahu,CentralTrackingPV,16215.94433613408,49.85190615937982,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,1513077.6372011087,17_to_20
Oahu_CentralTrackingPV_PV_09_B_00_15,Oahu,CentralTrackingPV,31607.48722247261,126.76600511475407,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,3847532.065940202,00_to_15
Oahu_CentralTrackingPV_PV_09_B_15_17,Oahu,CentralTrackingPV,30034.177351822582,2.42759927046149,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,73681.1578774484,15_to_17
Oahu_CentralTrackingPV_PV_09_B_17_20,Oahu,CentralTrackingPV,30256.4456962518,1.5469041474202259,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,46950.783885217614,17_to_20
Oahu_CentralTrackingPV_PV_09_C_00_15,Oahu,CentralTrackingPV,32146.266034678763,14.255118847576574,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,432663.526946278,00_to_15
Oahu_CentralTrackingPV_PV_09_C_15_17,Oahu,CentralTrackingPV,29152.5242510167,0.6809162217907283,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,20666.7946598702,15_to_17
Oahu_CentralTrackingPV_PV_09_C_17_20,Oahu,CentralTrackingPV,29615.701087215468,0.8292721306718889,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,25169.6116104813,17_to_20
Oahu_CentralTrackingPV_PV_09_X_00_15,Oahu,CentralTrackingPV,32690.36299830959,178.39022667564976,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,5414402.04543465,00_to_15
Oahu_CentralTrackingPV_PV_09_X_15_17,Oahu,CentralTrackingPV,29825.02241907225,22.175603906292622,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,673061.7331816452,15_to_17
Oahu_CentralTrackingPV_PV_09_X_17_20,Oahu,CentralTrackingPV,29313.269686976437,24.11682178373248,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,731980.5105278671,17_to_20
Oahu_CentralTrackingPV_PV_10_B_00_15,Oahu,CentralTrackingPV,21707.310210033436,924.2747124678353,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,28053077.721731883,00_to_15
Oahu_CentralTrackingPV_PV_10_B_15_17,Oahu,CentralTrackingPV,23653.824366990095,18.57559308117194,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,563796.1846235362,15_to_17
Oahu_CentralTrackingPV_PV_10_B_17_20,Oahu,CentralTrackingPV,23335.204573400482,11.467989685117205,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,348070.1155283506,17_to_20
Oahu_CentralTrackingPV_PV_10_C_00_15,Oahu,CentralTrackingPV,21706.065138371014,149.96112538240814,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,4551537.598987891,00_to_15
Oahu_CentralTrackingPV_PV_10_C_15_17,Oahu,CentralTrackingPV,21545.531465616597,10.678354737862904,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,324103.549908509,15_to_17
Oahu_CentralTrackingPV_PV_10_C_17_20,Oahu,CentralTrackingPV,21781.578971721865,7.802084370834343,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,236804.57367716002,17_to_20
Oahu_CentralTrackingPV_PV_10_X_00_15,Oahu,CentralTrackingPV,23709.31655991321,121.19786760522072,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,3678531.0187264765,00_to_15
Oahu_CentralTrackingPV_PV_10_X_15_17,Oahu,CentralTrackingPV,23079.32857494439,26.55222957154076,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,805898.6682291408,15_to_17
Oahu_CentralTrackingPV_PV_10_X_17_20,Oahu,CentralTrackingPV,22959.592717010662,28.096482616993708,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,852768.9873255537,17_to_20
Oahu_CentralTrackingPV_PV_11_B_00_15,Oahu,CentralTrackingPV,28965.5425462835,138.09786885293443,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,4191470.561596397,00_to_15
Oahu_CentralTrackingPV_PV_11_B_15_17,Oahu,CentralTrackingPV,29104.899465175742,8.701260376903555,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,264095.8692665694,15_to_17
Oahu_CentralTrackingPV_PV_11_B_17_20,Oahu,CentralTrackingPV,29129.39817458492,5.615467207164911,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,170437.57216490543,17_to_20
Oahu_CentralTrackingPV_PV_11_C_00_15,Oahu,CentralTrackingPV,27643.093178804058,59.76154676136812,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,1813849.5984503266,00_to_15
Oahu_CentralTrackingPV_PV_11_C_15_17,Oahu,CentralTrackingPV,27670.50591468156,4.573578492419,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,138814.73893373067,15_to_17
Oahu_CentralTrackingPV_PV_11_C_17_20,Oahu,CentralTrackingPV,27700.982659592995,3.6540253994358727,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,110904.96920970792,17_to_20
Oahu_CentralTrackingPV_PV_11_X_00_15,Oahu,CentralTrackingPV,29330.599127800895,121.60681021879125,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,3690943.0200151317,00_to_15
Oahu_CentralTrackingPV_PV_11_X_15_17,Oahu,CentralTrackingPV,28323.569656170934,15.460524525603873,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,469249.3371126397,15_to_17
Oahu_CentralTrackingPV_PV_11_X_17_20,Oahu,CentralTrackingPV,28429.693560969594,16.619047518749547,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,504412.1898129509,17_to_20
Oahu_CentralTrackingPV_PV_12_B_00_15,Oahu,CentralTrackingPV,33437.0229301228,53.90182446555638,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,1635998.5301751113,00_to_15
Oahu_CentralTrackingPV_PV_12_B_15_17,Oahu,CentralTrackingPV,33087.502965115185,2.2875592773116193,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,69430.74102735975,15_to_17
Oahu_CentralTrackingPV_PV_12_B_17_20,Oahu,CentralTrackingPV,32743.68880956421,1.492353751900998,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,45295.10028313554,17_to_20
Oahu_CentralTrackingPV_PV_12_C_00_15,Oahu,CentralTrackingPV,33125.03062471225,85.78281066607249,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,2603632.688790766,00_to_15
Oahu_CentralTrackingPV_PV_12_C_15_17,Oahu,CentralTrackingPV,33121.53214558536,12.437394234702712,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,377492.9492448676,15_to_17
Oahu_CentralTrackingPV_PV_12_C_17_20,Oahu,CentralTrackingPV,33142.14858482381,10.84273262002809,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,329092.65698015154,17_to_20
Oahu_CentralTrackingPV_PV_12_X_00_15,Oahu,CentralTrackingPV,33138.821817959746,73.34985340288289,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,2226274.40806493,00_to_15
Oahu_CentralTrackingPV_PV_12_X_15_17,Oahu,CentralTrackingPV,33160.18155612048,19.01772463405743,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,577215.5183443624,15_to_17
Oahu_CentralTrackingPV_PV_12_X_17_20,Oahu,CentralTrackingPV,33047.58122116843,21.695037836457377,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,658475.8561413443,17_to_20
Oahu_CentralTrackingPV_PV_13_B_00_15,Oahu,CentralTrackingPV,31846.154559793093,207.4914292429556,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,6297665.740096105,00_to_15
Oahu_CentralTrackingPV_PV_13_B_15_17,Oahu,CentralTrackingPV,31323.257048593216,12.791326202950946,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,388235.2976825555,15_to_17
Oahu_CentralTrackingPV_PV_13_B_17_20,Oahu,CentralTrackingPV,31192.45291887387,8.923663770749872,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,270846.1347547262,17_to_20
Oahu_CentralTrackingPV_PV_13_C_00_15,Oahu,CentralTrackingPV,31356.103839943127,85.99237683461197,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,2609993.3258768837,00_to_15
Oahu_CentralTrackingPV_PV_13_C_15_17,Oahu,CentralTrackingPV,31019.021592753128,14.381406841173076,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,436496.55066952255,15_to_17
Oahu_CentralTrackingPV_PV_13_C_17_20,Oahu,CentralTrackingPV,30698.599050791672,14.522584353715317,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,440781.49288257275,17_to_20
Oahu_CentralTrackingPV_PV_13_X_00_15,Oahu,CentralTrackingPV,32800.66173206102,148.5180528888419,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,4507738.256353041,00_to_15
Oahu_CentralTrackingPV_PV_13_X_15_17,Oahu,CentralTrackingPV,31284.334174631993,23.06634181533002,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,700096.9202908983,15_to_17
Oahu_CentralTrackingPV_PV_13_X_17_20,Oahu,CentralTrackingPV,31133.766386411466,24.51356171667663,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,744022.1427656249,17_to_20
Oahu_CentralTrackingPV_PV_14_B_00_15,Oahu,CentralTrackingPV,22788.554568650117,40.807318209368944,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,1238561.278265751,00_to_15
Oahu_CentralTrackingPV_PV_14_B_15_17,Oahu,CentralTrackingPV,22733.971824114506,0.8346137160786815,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,25331.7364728763,15_to_17
Oahu_CentralTrackingPV_PV_14_B_17_20,Oahu,CentralTrackingPV,22756.969374918084,0.3622584442493657,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,10995.069057712411,17_to_20
Oahu_CentralTrackingPV_PV_14_C_00_15,Oahu,CentralTrackingPV,22444.673134910976,34.15616740527386,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,1036689.2071927993,00_to_15
Oahu_CentralTrackingPV_PV_14_C_15_17,Oahu,CentralTrackingPV,21502.779882303796,1.6770132129888924,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,50899.78268337172,15_to_17
Oahu_CentralTrackingPV_PV_14_C_17_20,Oahu,CentralTrackingPV,21622.66542358686,1.0210766649553449,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,30991.157342558905,17_to_20
Oahu_CentralTrackingPV_PV_14_X_00_15,Oahu,CentralTrackingPV,23469.8901021693,21.829056448937354,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,662543.5153570997,00_to_15
Oahu_CentralTrackingPV_PV_14_X_15_17,Oahu,CentralTrackingPV,23723.47576278644,3.9713855383291095,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,120537.30959731905,15_to_17
Oahu_CentralTrackingPV_PV_14_X_17_20,Oahu,CentralTrackingPV,23724.929907969385,3.861360099290925,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,117197.87798562355,17_to_20
Oahu_CentralTrackingPV_PV_15_B_00_15,Oahu,CentralTrackingPV,18356.1460624283,12.51508738117748,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,379851.04889543925,00_to_15
Oahu_CentralTrackingPV_PV_15_B_15_17,Oahu,CentralTrackingPV,15970.086463138765,0.23709399911155807,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,7196.146659334499,15_to_17
Oahu_CentralTrackingPV_PV_15_B_17_20,Oahu,CentralTrackingPV,16083.030757285807,0.17279122400890784,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,5244.464195945166,17_to_20
Oahu_CentralTrackingPV_PV_15_C_00_15,Oahu,CentralTrackingPV,15324.805050838124,57.00142517799361,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,1730075.9062186142,00_to_15
Oahu_CentralTrackingPV_PV_15_C_15_17,Oahu,CentralTrackingPV,14393.006087968479,5.013913867860051,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,152179.55606466095,15_to_17
Oahu_CentralTrackingPV_PV_15_C_17_20,Oahu,CentralTrackingPV,14236.40806269362,4.359105873882554,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,132305.18397585265,17_to_20
Oahu_CentralTrackingPV_PV_15_X_00_15,Oahu,CentralTrackingPV,12010.926459477505,155.67980722463935,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,4725107.88498828,00_to_15
Oahu_CentralTrackingPV_PV_15_X_15_17,Oahu,CentralTrackingPV,13415.459523731412,22.103182288435253,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,670863.6320683282,15_to_17
