generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
C-Coal_ST,2025011600,1682.3927146291207,1.692,1.853998848,6674.395852800001,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025011612,1682.3927146291207,1.692,1.853998848,6674.395852800001,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025061500,3364.803853920001,1.692,3.708018,13348.864800000001,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
C-Coal_ST,2025061512,3364.803853920001,1.692,3.708018,13348.864800000001,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
C-NG_CC,2025011500,908.1275612582068,2.32954834317802,2.5525886197472567,6969.79217444749,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011512,575.3493912021136,1.47589862724393,1.617207065410773,4415.751547962808,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011600,908.1275612582068,2.32954834317802,2.5525886197472567,6969.79217444749,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011612,698.8435467579324,1.79268848996832,1.9643276567518468,5363.557380207783,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025061500,1816.2650678419045,2.32954834317802,5.105205194074631,13939.660678316899,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
C-NG_CC,2025061512,1816.2650678419045,2.32954834317802,5.105205194074631,13939.660678316899,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
C-NG_CC,2035011512,17638.893639669583,5.65592767560763,49.57986200437649,135376.8216057099,C-NG_CC,NaturalGas,Central,NG_CC,2030,8766.0
C-NG_GT,2025011500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011600,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011612,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025061500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
C-NG_GT,2025061512,2271.339833868,1.88,4.120019999999999,91652.316912,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
C-NG_GT,2035011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2030,8766.0
C-Nuclear,2035011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2030,8766.0
C-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
C-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
C-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2030,8766.0
C-Residential_PV,2025011500,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011600,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011612,0.0,3.12359472875614e-16,3.4226601824661683e-16,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025061500,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
C-Residential_PV,2025061512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
C-Residential_PV,2035011512,0.0,2.60477857416368e-17,2.283348898111882e-16,0.0,C-Residential_PV,Solar,Central,Residential_PV,2030,8766.0
C-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011512,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011612,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
C-Commercial_PV,2025061512,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
C-Commercial_PV,2035011512,0.0,4.80096443081149e-16,4.208525420049352e-15,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2030,8766.0
C-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011512,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011612,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-1,2025061512,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-1,2035011512,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2030,8766.0
C-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025011512,0.0,-5.55111512312578e-17,-6.082601089474335e-17,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
