load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2020-11-23-14:00	982.528	0	0	873.215	0	0	109.313
Oahu	2020-11-23-16:00	890.093	0	0	909.556	0	48.2422	-67.705
Oahu	2020-11-23-18:00	924.768	0	0	1027.52	0	0	-102.752
Oahu	2020-11-23-20:00	846.664	0	0	905.565	0	0	-58.9008
Oahu	2020-11-23-22:00	686.589	0	0	713.902	0	0	-27.3129
Oahu	2020-12-23-00:00	716.382	0	0	555.229	0	0	161.153
Oahu	2020-12-23-02:00	694.042	0	0	491.181	0	0	202.861
Oahu	2020-12-23-04:00	557.595	0	0	560.695	0	0	-3.09905
Oahu	2020-12-23-06:00	707.04	0	0	785.6	0	0	-78.56
Oahu	2020-12-23-08:00	838.041	0	0	931.157	0	0	-93.1157
Oahu	2020-12-23-10:00	993.842	0	0	997.526	0	0	-3.684
Oahu	2020-12-23-12:00	1084.96	0	0	998.715	0	118.102	-31.8531
Oahu	2020-12-23-14:00	1069.96	0	0	989.418	0	0	80.543
Oahu	2020-12-23-16:00	947.433	0	0	968.527	0	0	-21.094
Oahu	2020-12-23-18:00	939.958	0	0	1044.4	0	0	-104.44
Oahu	2020-12-23-20:00	845.297	0	0	939.218	0	0	-93.9218
Oahu	2020-12-23-22:00	747.517	0	0	762.306	0	0	-14.7896
Oahu	2025-01-23-00:00	559.774	0	0	539.48	0	0	20.2936
Oahu	2025-01-23-02:00	573.536	0	0	495.335	36.2642	0	41.9366
Oahu	2025-01-23-04:00	548.468	0	0	567.529	1.6284	0	-20.6892
Oahu	2025-01-23-06:00	734.755	0	0	816.394	0	0	-81.6394
Oahu	2025-01-23-08:00	922.911	0	0	881.075	0	0	41.8365
Oahu	2025-01-23-10:00	1145.18	0	0	915.443	36.2642	0	193.474
Oahu	2025-01-23-12:00	1122.33	0	0	924.785	0	284.268	-86.7257
Oahu	2025-01-23-14:00	1080.35	0	0	917.182	9.89024	0	153.28
Oahu	2025-01-23-16:00	942.15	0	0	910.367	36.2642	0	-4.4812
Oahu	2025-01-23-18:00	901.021	0	0	1001.13	0	0	-100.113
Oahu	2025-01-23-20:00	798.864	0	0	887.627	0	0	-88.7627
Oahu	2025-01-23-22:00	615.681	0	0	684.09	0	0	-68.409
Oahu	2025-02-23-00:00	649.34	0	0	574.97	36.2642	0	38.1054
Oahu	2025-02-23-02:00	669.495	0	0	512.484	4.94512	0	152.067
Oahu	2025-02-23-04:00	527.138	0	0	526.7	0	30.4922	-30.0541
Oahu	2025-02-23-06:00	577.042	0	0	641.158	0	0	-64.1158
Oahu	2025-02-23-08:00	893.334	0	0	822.835	0	0	70.4993
Oahu	2025-02-23-10:00	943.172	0	0	897.88	36.2642	0	9.02803
Oahu	2025-02-23-12:00	1049.95	0	0	900.741	0	0	149.205
Oahu	2025-02-23-14:00	1096.86	0	0	896.464	36.2642	253.776	-89.6464
Oahu	2025-02-23-16:00	944.157	0	0	910.498	9.89024	0	23.7681
Oahu	2025-02-23-18:00	866.314	0	0	962.571	0	0	-96.2571
Oahu	2025-02-23-20:00	796.635	0	0	885.15	0	0	-88.515
Oahu	2025-02-23-22:00	666.759	0	0	740.844	0	0	-74.0844
Oahu	2025-03-23-00:00	551.688	0	0	571.522	0	0	-19.8341
Oahu	2025-03-23-02:00	540.396	0	0	513.697	27.0807	0	-0.382034
Oahu	2025-03-23-04:00	472.756	0	0	525.284	0	0	-52.5284
Oahu	2025-03-23-06:00	576.233	0	0	607.154	29.7942	0	-60.7154
Oahu	2025-03-23-08:00	800.722	0	0	772.137	0	0	28.5841
Oahu	2025-03-23-10:00	1169.88	0	0	823.563	0	0	346.318
Oahu	2025-03-23-12:00	976.071	0	0	830.863	0	0	145.208
Oahu	2025-03-23-14:00	889.063	0	0	827.243	36.2642	108.28	-82.7243
Oahu	2025-03-23-16:00	973.278	0	0	841.227	16.3603	175.988	-60.2968
Oahu	2025-03-23-18:00	799.656	0	0	888.507	0	0	-88.8507
Oahu	2025-03-23-20:00	765.513	0	0	850.57	0	0	-85.057
Oahu	2025-03-23-22:00	627.493	0	0	697.214	0	0	-69.7214
Oahu	2025-04-23-00:00	554.953	0	0	548.742	10.9735	0	-4.76284
Oahu	2025-04-23-02:00	510.336	0	0	504.374	36.2642	20.135	-50.4374
Oahu	2025-04-23-04:00	507.955	0	0	564.394	0	0	-56.4394
Oahu	2025-04-23-06:00	714.725	0	0	794.139	0	0	-79.4139
Oahu	2025-04-23-08:00	1010.69	0	0	919.174	0	0	91.5183
Oahu	2025-04-23-10:00	1183.73	0	0	978.364	0	0	205.368
Oahu	2025-04-23-12:00	1261.19	0	0	999.052	36.2642	264.133	-38.2612
Oahu	2025-04-23-14:00	1197.57	0	0	1003.41	36.2642	0	157.893
Oahu	2025-04-23-16:00	1041.1	0	0	991.994	9.89024	0	39.2112
Oahu	2025-04-23-18:00	893.896	0	0	993.218	0	0	-99.3218
Oahu	2025-04-23-20:00	842.726	0	0	936.363	0	0	-93.6363
Oahu	2025-04-23-22:00	645.465	0	0	717.183	0	0	-71.7183
Oahu	2025-05-23-00:00	643.386	0	0	612.543	10.0715	0	20.771
Oahu	2025-05-23-02:00	618.135	0	0	565.395	0	0	52.7398
Oahu	2025-05-23-04:00	612.918	0	0	635.688	0	40.7995	-63.5688
Oahu	2025-05-23-06:00	776.132	0	0	862.369	0	0	-86.2369
Oahu	2025-05-23-08:00	1166.65	0	0	989.911	0	0	176.737
Oahu	2025-05-23-10:00	1197.93	0	0	1041.27	36.2642	224.526	-104.127
Oahu	2025-05-23-12:00	1254.62	0	0	1051.59	0	0	203.03
Oahu	2025-05-23-14:00	1123.95	0	0	1039.83	36.2642	18.9428	28.9134
Oahu	2025-05-23-16:00	988.904	0	0	994.562	0	0	-5.65814
Oahu	2025-05-23-18:00	872.401	0	0	969.335	0	0	-96.9335
Oahu	2025-05-23-20:00	831.552	0	0	923.946	0	0	-92.3946
Oahu	2025-05-23-22:00	727.106	0	0	760.378	0	0	-33.2722
Oahu	2025-06-23-00:00	535.3	0	0	594.778	0	0	-59.4778
Oahu	2025-06-23-02:00	492.512	0	0	547.235	0	0	-54.7235
Oahu	2025-06-23-04:00	629.286	0	0	609.692	0	2.08649	17.5071
Oahu	2025-06-23-06:00	735.382	0	0	817.092	0	0	-81.7092
Oahu	2025-06-23-08:00	1074.49	0	0	955.806	0	0	118.679
Oahu	2025-06-23-10:00	1216.31	0	0	1026.93	9.89024	282.182	-102.693
Oahu	2025-06-23-12:00	1302.8	0	0	1046.88	36.2642	0	219.663
Oahu	2025-06-23-14:00	1255.39	0	0	1048.67	0	0	206.718
Oahu	2025-06-23-16:00	1071.61	0	0	1024.35	36.2642	0	10.9968
Oahu	2025-06-23-18:00	896.134	0	0	995.705	0	0	-99.5705
