load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-02-23-22:00,0.0,180.0,0.0,0.0,398.9324874525,0.0,42.8,0.0,62.562818500000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,62.562818500000006,0.0,0.0,0.0,8.881784197001252e-15,260.8716925035,684.2953059524998,0.0,760.328117725,0.0,0.0,-76.0328117725,261.225205050999,240.6576942,0.0,typical
Oahu,2020,2020-03-23-00:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,0.0,362.7609255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,362.7609255,0.0,0.0,0.0,0.8051524999999984,260.8716925035,547.5609255,0.0,568.836280799,0.0,0.0,-21.275355299,425.28511778440003,306.827147055,0.0,typical
Oahu,2020,2020-03-23-02:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,0.0,351.876383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,351.876383,0.0,0.0,0.0,0.0,260.8716925035,536.676383,0.0,503.439068423,0.0,0.0,33.237314577,472.4529139228,306.827147055,0.0,typical
Oahu,2020,2020-03-23-04:00,0.0,86.4685653733,0.0,0.0,75.0,0.0,42.8,0.0,260.620758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,260.620758,0.0,0.0,0.0,1.7763568394002505e-15,260.8716925035,464.88932337329993,0.0,516.543692637,0.0,0.0,-51.6543692637,369.4031271302,305.893779225,0.0,typical
Oahu,2020,2020-03-23-06:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,0.0,400.64620850000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,400.64620850000006,0.0,0.0,0.0,-2.1316282072803006e-14,260.8716925035,585.4462085,0.0,609.13348358,0.0,0.0,-23.68727508,426.0977657815,306.827147055,0.0,typical
Oahu,2020,2020-03-23-08:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,349.28714761017994,348.93725750000004,0.0,0.0,0.0,0.0,0.0,178.4656337983,70.1717337037,42.8,0.0,348.93725750000004,100.64978010818,0.0,-1.4409096138479072e-10,0.0,260.8716925035,883.02440511018,0.0,795.719627489,0.0,0.0,87.3047776212,555.7484328735,437.2487397304007,0.0,typical
Oahu,2020,2020-03-23-10:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,489.64889188007,337.85238000000004,0.0,0.0,0.0,0.0,0.0,203.74249153739999,121.57375914400001,42.8,0.0,337.85238000000004,164.33264119867,0.0,-6.896598847561108e-10,-1.4210854715202004e-14,260.8716925035,1012.3012718800701,0.0,853.878485908,0.0,0.0,158.422785972,632.6823270655,444.7541254199946,0.0,typical
Oahu,2020,2020-03-23-12:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,484.86874188959996,289.8249685,0.0,0.0,0.0,0.0,0.0,203.8816411554,121.4850072737,42.8,0.0,289.8249685,159.5020934605,0.0,1.025694092807857,1.0658141036401503e-14,260.8716925035,959.4937103895999,0.0,862.134578533,0.0,0.0,97.3591318567,573.46997630639,444.7541254199946,0.0,typical
Oahu,2020,2020-03-23-14:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,498.03281450000003,293.5783855,0.0,0.0,0.0,0.0,0.0,203.7141077844,128.23706716590002,42.8,0.0,293.5783855,166.08163954970001,0.0,-6.715517031352647e-10,7.105427357601002e-15,260.8716925035,976.4111999999999,0.0,858.040801161,0.0,58.4185327877,59.9518660508,593.0461714582,444.7541254199946,0.0,typical
Oahu,2020,2020-03-23-16:00,0.0,67.0,0.0,0.0,75.0,0.0,42.8,335.42495800807006,325.9283345,0.0,0.0,0.0,0.0,0.0,186.9332504667,67.41086316009999,42.8,0.0,325.9283345,81.08084438127001,0.0,2.119886488571865e-10,7.105427357601002e-15,260.8716925035,846.15329250807,0.0,873.855533215,0.0,59.683312615,-87.3855533215,448.55500511850005,439.6163366142452,0.0,typical
Oahu,2020,2020-03-23-18:00,3.4393584070796464,180.0,4.560641592920354,0.0,240.116963795,0.0,42.8,12.946765301919998,350.72964200000007,0.0,0.0,0.0,0.0,0.0,4.197059881606,2.951995191546,42.8,0.0,350.72964200000007,5.797710228768,0.0,-6.520450845926007e-12,-7.105427357601002e-15,260.8716925035,834.5933710969199,0.0,927.325967885,0.0,0.0,-92.7325967885,330.0407287089,319.77391235691346,0.0,typical
Oahu,2020,2020-03-23-20:00,0.0,180.0,0.0,0.0,241.51427698999998,0.0,42.8,0.0,331.6651035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,331.6651035,0.0,0.0,0.0,2.842170943040401e-14,260.8716925035,795.9793804899999,0.0,884.421533878,0.0,0.0,-88.4421533878,320.5034155133,306.827147055,0.0,typical
Oahu,2020,2020-03-23-22:00,0.0,180.0,0.0,0.0,158.9182364312,0.0,42.8,0.0,258.16892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,258.16892,0.0,0.0,0.0,1.7763568394002505e-14,260.8716925035,639.8871564312001,0.0,710.985729368,0.0,0.0,-71.0985729368,342.5394560723,306.827147055,0.0,typical
Oahu,2020,2020-04-23-00:00,0.0,180.0,0.0,0.0,366.886,0.0,42.8,0.0,90.9421585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,90.9421585,0.0,0.0,0.0,0.0,260.8716925035,680.6281584999999,0.0,543.073017154,0.0,0.0,137.555141346,502.53413556450005,265.02644833,0.0,typical
Oahu,2020,2020-04-23-02:00,0.0,180.0,0.0,0.0,357.809187185,0.0,42.8,0.0,46.4824033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,46.4824033,0.0,0.0,0.0,1.3322676295501878e-15,260.8716925035,627.0915904849999,0.0,492.89596025,0.0,0.0,134.195630235,503.23373157880997,226.4824033,0.0,typical
Oahu,2020,2020-04-23-04:00,0.0,180.0,0.0,0.0,333.28499999999997,0.0,42.8,0.0,39.256884905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,39.256884905,0.0,0.0,0.0,0.0,260.8716925035,595.341884905,0.0,560.774564952,0.0,0.0,34.567319953,434.9174689517,218.925625605,0.0,typical
Oahu,2020,2020-04-23-06:00,0.0,180.0,0.0,0.0,392.97733040820003,0.0,42.8,30.968526174419996,91.79627445,0.0,0.0,0.0,0.0,0.0,12.51131379268,4.977410733717,42.8,0.0,91.79627445,13.479801648023,0.0,-2.3649526781355235e-11,-7.105427357601002e-15,260.8716925035,738.5421310326201,0.0,820.602367814,0.0,0.0,-82.0602367814,312.58036209530997,301.2361608543963,0.0,typical
Oahu,2020,2020-04-23-08:00,0.0,180.0,0.0,0.0,366.886,0.0,42.8,320.64529627226,28.7225041925,0.0,0.0,0.0,0.0,0.0,180.6587353517,55.6897647855,42.8,0.0,28.7225041925,84.29679613506,0.0,-6.344382796896753e-10,0.0,260.8716925035,939.0538004647601,0.0,962.008508412,0.0,0.0,-22.9547079477,383.917835397,343.68480414013766,0.0,typical
Oahu,2020,2020-04-23-10:00,0.0,180.0,0.0,0.0,366.886,0.0,42.8,488.1313273675999,19.486660965,0.0,0.0,0.0,0.0,0.0,194.3675212705,121.05588149249999,42.8,0.0,19.486660965,172.70792460459998,0.0,-3.701927653310122e-10,4.440892098500626e-16,260.8716925035,1097.3039883325998,0.0,1028.94949816,0.0,0.0,68.3544901724,481.92113249150003,337.41363932999457,0.0,typical
Oahu,2020,2020-04-23-12:00,0.0,180.0,0.0,0.0,366.886,0.0,42.8,562.5366593972,24.385509674999994,0.0,0.0,0.0,0.0,0.0,187.9915397002,158.6543349149,42.8,0.0,24.385509674999994,215.89078478210004,0.0,-1.6424905879830476e-10,2.886579864025407e-15,260.8716925035,1176.6081690721994,0.0,1052.34562254,0.0,0.0,124.262546532,540.1688012895,342.31248803999455,0.0,typical
Oahu,2020,2020-04-23-14:00,0.0,180.0,0.0,0.0,366.886,0.0,42.8,507.1119343737999,16.260258775,0.0,0.0,0.0,0.0,0.0,183.6984277185,137.2355122386,42.8,0.0,16.260258775,186.1779944167,0.0,-3.6769165490113664e-10,0.0,260.8716925035,1113.0581931487998,0.0,1057.27420805,0.0,69.1911877051,-13.4072026065,472.18309840710003,334.1872371399945,0.0,typical
Oahu,2020,2020-04-23-16:00,0.0,180.0,0.0,0.0,421.586,0.0,42.8,338.7285615853801,5.723660669999999,0.0,0.0,0.0,0.0,0.0,179.0944814574,70.02743654700001,42.8,0.0,5.723660669999999,89.60664358098,0.0,1.4846790463707293e-11,0.0,260.8716925035,988.83822225538,0.0,1044.36396062,0.0,48.9106576976,-104.436396062,439.1823502011,319.2039223084653,0.0,typical
Oahu,2020,2020-04-23-18:00,3.4393584070796464,180.0,9.197653721674087,0.0,674.0080393919463,0.0,42.8,31.625933430294996,0.10194499500000001,0.0,0.0,0.0,0.0,0.0,12.94742567726,5.55367488529,42.8,0.0,0.10194499500000001,13.124832867745,0.0,-5.857536677922326e-12,0.0,260.8716925035,941.1729299459951,0.0,1045.74769994,0.0,0.0,-104.574769994,263.4526409828,211.72787842528913,0.0,typical
Oahu,2020,2020-04-23-20:00,0.0,180.0,0.0,0.0,660.4338903978,0.0,42.8,0.0,0.0694361125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0694361125,0.0,0.0,0.0,-3.469446951953614e-18,260.8716925035,883.3033265103,0.0,981.448140567,0.0,0.0,-98.1448140567,281.66380210570003,180.0694361125,0.0,typical
Oahu,2020,2020-04-23-22:00,0.0,180.0,0.0,0.0,433.685609335,0.0,42.8,0.0,3.727397775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,3.727397775,0.0,0.0,0.0,-2.220446049250313e-16,260.8716925035,660.21300711,0.0,733.5700079,0.0,0.0,-73.35700079,271.8720831685,183.727397775,0.0,typical
Oahu,2020,2020-05-23-00:00,0.0,180.0,0.0,0.0,481.986,0.0,42.8,0.0,35.270182052500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,35.270182052500004,0.0,0.0,0.0,0.0,260.8716925035,740.0561820525,0.0,615.228399557,0.0,0.0,124.827782495,544.2223149545,215.2701820525,0.0,typical
Oahu,2020,2020-05-23-02:00,0.0,180.0,0.0,0.0,481.986,0.0,42.8,0.0,10.0334426225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,10.0334426225,0.0,0.0,0.0,0.0,260.8716925035,714.8194426225001,0.0,561.906626481,0.0,0.0,152.912816141,566.9751712935,190.0334426225,0.0,typical
