ShiftDemand_index_1	ShiftDemand_index_2	ShiftDemand
Oahu	2020102320	-96.8183478308
Oahu	2020102322	-75.6908970854
Oahu	2020112300	-54.9796848447
Oahu	2020112302	12.2521727235
Oahu	2020112304	-44.6799167572
Oahu	2020112306	-62.4902500449
Oahu	2020112308	61.4646871475
Oahu	2020112310	65.3250086142
Oahu	2020112312	170.466199972
Oahu	2020112314	109.31255273
Oahu	2020112316	-67.7050483169
Oahu	2020112318	-102.752011344
Oahu	2020112320	-58.9008295702
Oahu	2020112322	-27.3128803083
Oahu	2020122300	161.153036322
Oahu	2020122302	202.86107191
Oahu	2020122304	-3.09904713205
Oahu	2020122306	-78.5599611608
Oahu	2020122308	-93.1156691009
Oahu	2020122310	-3.68400368976
Oahu	2020122312	-31.8530869968
Oahu	2020122314	80.5429597352
Oahu	2020122316	-21.0939942402
Oahu	2020122318	-104.439829935
Oahu	2020122320	-93.921847665
Oahu	2020122322	-14.7896280466
Oahu	2025012300	20.2935909441
Oahu	2025012302	41.9366352466
Oahu	2025012304	-20.6891912426
Oahu	2025012306	-81.6393920561
Oahu	2025012308	41.8365470809
Oahu	2025012310	193.473610973
Oahu	2025012312	-86.7256560285
Oahu	2025012314	153.280164594
Oahu	2025012316	-4.4811972299
Oahu	2025012318	-100.113450486
Oahu	2025012320	-88.762688457
Oahu	2025012322	-68.4089733386
Oahu	2025022300	38.1054150531
Oahu	2025022302	152.066835565
Oahu	2025022304	-30.0540547023
Oahu	2025022306	-64.1157828589
Oahu	2025022308	70.4993391635
Oahu	2025022310	9.02803334455
Oahu	2025022312	149.204903192
Oahu	2025022314	-89.646400738
Oahu	2025022316	23.7680925438
Oahu	2025022318	-96.2570618136
Oahu	2025022320	-88.5149643958
Oahu	2025022322	-74.0843543533
Oahu	2025032300	-19.8340750745
Oahu	2025032302	-0.382033786222
Oahu	2025032304	-52.5284237079
Oahu	2025032306	-60.7154073978
Oahu	2025032308	28.5841087328
Oahu	2025032310	346.317834065
Oahu	2025032312	145.208105537
Oahu	2025032314	-82.7243149519
Oahu	2025032316	-60.2967870623
Oahu	2025032318	-88.8506548447
Oahu	2025032320	-85.0569547201
Oahu	2025032322	-69.7213967898
Oahu	2025042300	-4.76284290024
Oahu	2025042302	-50.4374415663
Oahu	2025042304	-56.4394102923
Oahu	2025042306	-79.4139300805
Oahu	2025042308	91.5182961593
Oahu	2025042310	205.368450904
Oahu	2025042312	-38.2612115001
Oahu	2025042314	157.89324083
Oahu	2025042316	39.2111985253
Oahu	2025042318	-99.3217529972
Oahu	2025042320	-93.6362509725
Oahu	2025042322	-71.718346109
Oahu	2025052300	20.7710213468
Oahu	2025052302	52.7398450494
Oahu	2025052304	-63.5687731279
Oahu	2025052306	-86.2369287106
Oahu	2025052308	176.736907827
Oahu	2025052310	-104.126554358
Oahu	2025052312	203.029578745
Oahu	2025052314	28.9133701304
Oahu	2025052316	-5.65814358733
Oahu	2025052318	-96.9334908737
Oahu	2025052320	-92.3946128775
Oahu	2025052322	-33.2722195625
Oahu	2025062300	-59.4778053641
Oahu	2025062302	-54.723547339
Oahu	2025062304	17.5070858497
Oahu	2025062306	-81.7091591399
Oahu	2025062308	118.679107433
Oahu	2025062310	-102.692802215
Oahu	2025062312	219.662638328
Oahu	2025062314	206.718077483
Oahu	2025062316	10.9967873078
Oahu	2025062318	-99.570482988
Oahu	2025062320	-97.9729185955
Oahu	2025062322	-77.4169807612
Oahu	2025072300	33.8815296922
Oahu	2025072302	71.7576373432
Oahu	2025072304	-64.9064744186
Oahu	2025072306	9.78984602205
Oahu	2025072308	-14.6398505731
Oahu	2025072310	151.664854836
Oahu	2025072312	104.536907775
Oahu	2025072314	92.296693761
Oahu	2025072316	-104.89197425
Oahu	2025072318	-101.747413487
Oahu	2025072320	-98.5371278721
Oahu	2025072322	-79.204628829
Oahu	2025082300	-63.913560143
Oahu	2025082302	-57.642631749
Oahu	2025082304	-59.0046049495
Oahu	2025082306	-70.3311012404
Oahu	2025082308	163.513162714
Oahu	2025082310	173.858769247
Oahu	2025082312	232.512722145
Oahu	2025082314	-96.4906349749
Oahu	2025082316	41.649460834
Oahu	2025082318	-94.2500038271
Oahu	2025082320	-91.4107951682
Oahu	2025082322	-78.4907828888
Oahu	2025092300	-60.1188540888
Oahu	2025092302	-8.12957233273
Oahu	2025092304	-63.6142683019
Oahu	2025092306	-85.808211369
Oahu	2025092308	144.721215245
Oahu	2025092310	127.482112141
Oahu	2025092312	198.978723632
Oahu	2025092314	-70.0699120751
Oahu	2025092316	93.4251022944
Oahu	2025092318	-107.507724586
Oahu	2025092320	-95.1691026148
Oahu	2025092322	-74.1895079439
Oahu	2025102300	-59.6062187635
Oahu	2025102302	-55.2837082117
Oahu	2025102304	-61.1168226979
Oahu	2025102306	-82.9518155073
Oahu	2025102308	190.227562309
Oahu	2025102310	257.488706597
Oahu	2025102312	254.646671601
Oahu	2025102314	-73.7470910237
Oahu	2025102316	-99.0831193308
Oahu	2025102318	-104.328777074
Oahu	2025102320	-92.463361689
Oahu	2025102322	-73.7820262091
Oahu	2025112300	-55.4687375533
Oahu	2025112302	-51.1533055372
Oahu	2025112304	-53.2999038627
Oahu	2025112306	-62.1097369734
Oahu	2025112308	128.267591817
Oahu	2025112310	-63.4886981309
Oahu	2025112312	253.609839845
Oahu	2025112314	245.538100752
