EVSpinningReserveUp_index_1	EVSpinningReserveUp_index_2	EVSpinningReserveUp_index_3	EVSpinningReserveUp
contingency	system_wide_balancing_area	2035092316	249.776833633
contingency	system_wide_balancing_area	2035092318	0.0
contingency	system_wide_balancing_area	2035092320	0.0
contingency	system_wide_balancing_area	2035092322	0.0
contingency	system_wide_balancing_area	2035102300	0.0
contingency	system_wide_balancing_area	2035102302	0.0
contingency	system_wide_balancing_area	2035102304	0.0
contingency	system_wide_balancing_area	2035102306	0.0
contingency	system_wide_balancing_area	2035102308	0.0
contingency	system_wide_balancing_area	2035102310	331.84168424
contingency	system_wide_balancing_area	2035102312	0.0
contingency	system_wide_balancing_area	2035102314	437.193588149
contingency	system_wide_balancing_area	2035102316	0.0
contingency	system_wide_balancing_area	2035102318	0.0
contingency	system_wide_balancing_area	2035102320	0.0
contingency	system_wide_balancing_area	2035102322	0.0
contingency	system_wide_balancing_area	2035112300	0.0
contingency	system_wide_balancing_area	2035112302	0.0
contingency	system_wide_balancing_area	2035112304	0.0
contingency	system_wide_balancing_area	2035112306	0.0
contingency	system_wide_balancing_area	2035112308	0.0
contingency	system_wide_balancing_area	2035112310	5.61344275191
contingency	system_wide_balancing_area	2035112312	0.0
contingency	system_wide_balancing_area	2035112314	289.975217307
contingency	system_wide_balancing_area	2035112316	113.106848474
contingency	system_wide_balancing_area	2035112318	0.0
contingency	system_wide_balancing_area	2035112320	0.0
contingency	system_wide_balancing_area	2035112322	28.6835070343
contingency	system_wide_balancing_area	2035122300	0.0
contingency	system_wide_balancing_area	2035122302	0.0
contingency	system_wide_balancing_area	2035122304	0.0
contingency	system_wide_balancing_area	2035122306	0.0
