DemandResponseSpinningReserveDown_index_1	DemandResponseSpinningReserveDown_index_2	DemandResponseSpinningReserveDown_index_3	DemandResponseSpinningReserveDown
contingency	system_wide_balancing_area	2025032304	472.755813371
contingency	system_wide_balancing_area	2025032306	546.43866658
contingency	system_wide_balancing_area	2025032308	589.125858822
contingency	system_wide_balancing_area	2025032310	312.532360329
contingency	system_wide_balancing_area	2025032312	519.482257193
contingency	system_wide_balancing_area	2025032314	744.518834567
contingency	system_wide_balancing_area	2025032316	733.278281144
contingency	system_wide_balancing_area	2025032318	799.655893602
contingency	system_wide_balancing_area	2025032320	765.512592481
contingency	system_wide_balancing_area	2025032322	627.492571108
contingency	system_wide_balancing_area	2025042300	443.7564611
contingency	system_wide_balancing_area	2025042302	453.936974097
contingency	system_wide_balancing_area	2025042304	507.954692631
contingency	system_wide_balancing_area	2025042306	714.725370724
contingency	system_wide_balancing_area	2025042308	643.820566941
contingency	system_wide_balancing_area	2025042310	577.322914943
contingency	system_wide_balancing_area	2025042312	837.502452817
contingency	system_wide_balancing_area	2025042314	644.834367505
contingency	system_wide_balancing_area	2025042316	754.384000363
contingency	system_wide_balancing_area	2025042318	893.895776974
contingency	system_wide_balancing_area	2025042320	842.726258752
contingency	system_wide_balancing_area	2025042322	645.465114981
contingency	system_wide_balancing_area	2025052300	469.263639962
contingency	system_wide_balancing_area	2025052302	399.576231345
contingency	system_wide_balancing_area	2025052304	572.118958151
contingency	system_wide_balancing_area	2025052306	776.132358395
contingency	system_wide_balancing_area	2025052308	615.192027228
contingency	system_wide_balancing_area	2025052310	937.138989226
contingency	system_wide_balancing_area	2025052312	638.241698983
contingency	system_wide_balancing_area	2025052314	802.950502906
contingency	system_wide_balancing_area	2025052316	801.307956866
contingency	system_wide_balancing_area	2025052318	872.401417863
contingency	system_wide_balancing_area	2025052320	831.551515897
contingency	system_wide_balancing_area	2025052322	641.574831796
contingency	system_wide_balancing_area	2025062300	535.300248277
contingency	system_wide_balancing_area	2025062302	492.511926051
contingency	system_wide_balancing_area	2025062304	470.246497299
contingency	system_wide_balancing_area	2025062306	735.382432259
contingency	system_wide_balancing_area	2025062308	645.965954594
contingency	system_wide_balancing_area	2025062310	924.235219933
contingency	system_wide_balancing_area	2025062312	617.839180328
contingency	system_wide_balancing_area	2025062314	632.2154938
contingency	system_wide_balancing_area	2025062316	808.482919212
contingency	system_wide_balancing_area	2025062318	896.134346892
contingency	system_wide_balancing_area	2025062320	881.75626736
contingency	system_wide_balancing_area	2025062322	696.752826851
contingency	system_wide_balancing_area	2025072300	483.736290313
contingency	system_wide_balancing_area	2025072302	403.676553753
contingency	system_wide_balancing_area	2025072304	584.158269767
contingency	system_wide_balancing_area	2025072306	671.636470649
contingency	system_wide_balancing_area	2025072308	799.588053526
contingency	system_wide_balancing_area	2025072310	691.119044858
contingency	system_wide_balancing_area	2025072312	749.984006247
contingency	system_wide_balancing_area	2025072314	757.912768764
contingency	system_wide_balancing_area	2025072316	944.027768249
contingency	system_wide_balancing_area	2025072318	915.72672138
contingency	system_wide_balancing_area	2025072320	886.834150849
contingency	system_wide_balancing_area	2025072322	712.841659461
contingency	system_wide_balancing_area	2025082300	575.222041287
contingency	system_wide_balancing_area	2025082302	518.783685741
contingency	system_wide_balancing_area	2025082304	531.041444545
contingency	system_wide_balancing_area	2025082306	632.979911164
contingency	system_wide_balancing_area	2025082308	551.425496507
contingency	system_wide_balancing_area	2025082310	597.96115079
contingency	system_wide_balancing_area	2025082312	543.715613602
contingency	system_wide_balancing_area	2025082314	868.415714774
contingency	system_wide_balancing_area	2025082316	724.047100072
contingency	system_wide_balancing_area	2025082318	848.250034444
contingency	system_wide_balancing_area	2025082320	822.697156514
contingency	system_wide_balancing_area	2025082322	706.417045999
contingency	system_wide_balancing_area	2025092300	541.069686799
contingency	system_wide_balancing_area	2025092302	456.223212747
contingency	system_wide_balancing_area	2025092304	572.528414717
contingency	system_wide_balancing_area	2025092306	772.273902321
contingency	system_wide_balancing_area	2025092308	636.878167685
contingency	system_wide_balancing_area	2025092310	695.216964217
contingency	system_wide_balancing_area	2025092312	642.858738203
contingency	system_wide_balancing_area	2025092314	912.934681106
contingency	system_wide_balancing_area	2025092316	731.029302784
contingency	system_wide_balancing_area	2025092318	967.569521274
contingency	system_wide_balancing_area	2025092320	856.521923533
contingency	system_wide_balancing_area	2025092322	667.705571495
contingency	system_wide_balancing_area	2025102300	536.455968871
contingency	system_wide_balancing_area	2025102302	497.553373905
contingency	system_wide_balancing_area	2025102304	550.051404281
contingency	system_wide_balancing_area	2025102306	746.566339566
contingency	system_wide_balancing_area	2025102308	562.68048539
contingency	system_wide_balancing_area	2025102310	538.468489159
contingency	system_wide_balancing_area	2025102312	557.601597995
contingency	system_wide_balancing_area	2025102314	882.056066064
contingency	system_wide_balancing_area	2025102316	891.748073978
contingency	system_wide_balancing_area	2025102318	938.958993669
contingency	system_wide_balancing_area	2025102320	832.170255201
contingency	system_wide_balancing_area	2025102322	664.038235882
contingency	system_wide_balancing_area	2025112300	499.21863798
contingency	system_wide_balancing_area	2025112302	460.379749834
contingency	system_wide_balancing_area	2025112304	479.699134764
contingency	system_wide_balancing_area	2025112306	558.987632761
contingency	system_wide_balancing_area	2025112308	499.496932618
contingency	system_wide_balancing_area	2025112310	751.248644087
contingency	system_wide_balancing_area	2025112312	428.892315498
contingency	system_wide_balancing_area	2025112314	426.990416421
contingency	system_wide_balancing_area	2025112316	785.514479077
contingency	system_wide_balancing_area	2025112318	879.390283801
contingency	system_wide_balancing_area	2025112320	782.338524668
contingency	system_wide_balancing_area	2025112322	629.813065664
contingency	system_wide_balancing_area	2025122300	407.685750369
contingency	system_wide_balancing_area	2025122302	328.08717103
contingency	system_wide_balancing_area	2025122304	458.18650772
contingency	system_wide_balancing_area	2025122306	686.870216057
contingency	system_wide_balancing_area	2025122308	802.704378827
contingency	system_wide_balancing_area	2025122310	707.790180311
contingency	system_wide_balancing_area	2025122312	623.826102579
contingency	system_wide_balancing_area	2025122314	672.816868665
