GEN_TPS_1,GEN_TPS_2,ShutdownGenCapacity
Oahu_AES,2020122322,0.0
Oahu_AES,2025012300,2.84217094304e-14
Oahu_AES,2025012302,0.0
Oahu_AES,2025012304,0.0
Oahu_AES,2025012306,0.0
Oahu_AES,2025012308,2.84217094304e-14
Oahu_AES,2025012310,0.0
Oahu_AES,2025012312,2.84217094304e-14
Oahu_AES,2025012314,0.0
Oahu_AES,2025012316,2.84217094304e-14
Oahu_AES,2025012318,0.0
Oahu_AES,2025012320,0.0
Oahu_AES,2025012322,0.0
Oahu_AES,2025022300,2.84217094304e-14
Oahu_AES,2025022302,0.0
Oahu_AES,2025022304,2.84217094304e-14
Oahu_AES,2025022306,0.0
Oahu_AES,2025022308,0.0
Oahu_AES,2025022310,0.0
Oahu_AES,2025022312,2.84217094304e-14
Oahu_AES,2025022314,0.0
Oahu_AES,2025022316,2.84217094304e-14
Oahu_AES,2025022318,0.0
Oahu_AES,2025022320,2.84217094304e-14
Oahu_AES,2025022322,0.0
Oahu_AES,2025032300,2.84217094304e-14
Oahu_AES,2025032302,0.0
Oahu_AES,2025032304,0.0
Oahu_AES,2025032306,2.84217094304e-14
Oahu_AES,2025032308,0.0
Oahu_AES,2025032310,2.84217094304e-14
Oahu_AES,2025032312,0.0
Oahu_AES,2025032314,2.84217094304e-14
Oahu_AES,2025032316,0.0
Oahu_AES,2025032318,0.0
Oahu_AES,2025032320,2.84217094304e-14
Oahu_AES,2025032322,0.0
Oahu_AES,2025042300,0.0
Oahu_AES,2025042302,2.84217094304e-14
Oahu_AES,2025042304,0.0
Oahu_AES,2025042306,0.0
Oahu_AES,2025042308,2.84217094304e-14
Oahu_AES,2025042310,0.0
Oahu_AES,2025042312,0.0
Oahu_AES,2025042314,2.84217094304e-14
Oahu_AES,2025042316,0.0
Oahu_AES,2025042318,0.0
Oahu_AES,2025042320,0.0
Oahu_AES,2025042322,2.84217094304e-14
Oahu_AES,2025052300,2.84217094304e-14
Oahu_AES,2025052302,0.0
Oahu_AES,2025052304,2.84217094304e-14
Oahu_AES,2025052306,0.0
Oahu_AES,2025052308,2.84217094304e-14
Oahu_AES,2025052310,0.0
Oahu_AES,2025052312,0.0
Oahu_AES,2025052314,0.0
Oahu_AES,2025052316,2.84217094304e-14
Oahu_AES,2025052318,0.0
Oahu_AES,2025052320,2.84217094304e-14
Oahu_AES,2025052322,0.0
Oahu_AES,2025062300,0.0
Oahu_AES,2025062302,2.84217094304e-14
Oahu_AES,2025062304,0.0
Oahu_AES,2025062306,0.0
Oahu_AES,2025062308,0.0
Oahu_AES,2025062310,2.84217094304e-14
Oahu_AES,2025062312,0.0
Oahu_AES,2025062314,2.84217094304e-14
Oahu_AES,2025062316,0.0
Oahu_AES,2025062318,2.84217094304e-14
Oahu_AES,2025062320,0.0
Oahu_AES,2025062322,0.0
Oahu_AES,2025072300,0.0
Oahu_AES,2025072302,2.84217094304e-14
Oahu_AES,2025072304,0.0
Oahu_AES,2025072306,2.84217094304e-14
Oahu_AES,2025072308,0.0
Oahu_AES,2025072310,2.84217094304e-14
Oahu_AES,2025072312,0.0
Oahu_AES,2025072314,0.0
Oahu_AES,2025072316,2.84217094304e-14
Oahu_AES,2025072318,0.0
Oahu_AES,2025072320,2.84217094304e-14
Oahu_AES,2025072322,0.0
Oahu_AES,2025082300,0.0
Oahu_AES,2025082302,2.84217094304e-14
Oahu_AES,2025082304,0.0
Oahu_AES,2025082306,0.0
Oahu_AES,2025082308,0.0
Oahu_AES,2025082310,0.0
Oahu_AES,2025082312,2.84217094304e-14
Oahu_AES,2025082314,0.0
Oahu_AES,2025082316,2.84217094304e-14
Oahu_AES,2025082318,0.0
Oahu_AES,2025082320,2.84217094304e-14
Oahu_AES,2025082322,0.0
Oahu_AES,2025092300,0.0
Oahu_AES,2025092302,2.84217094304e-14
Oahu_AES,2025092304,0.0
Oahu_AES,2025092306,0.0
Oahu_AES,2025092308,2.84217094304e-14
Oahu_AES,2025092310,0.0
Oahu_AES,2025092312,2.84217094304e-14
Oahu_AES,2025092314,0.0
Oahu_AES,2025092316,0.0
Oahu_AES,2025092318,0.0
Oahu_AES,2025092320,0.0
Oahu_AES,2025092322,2.84217094304e-14
Oahu_AES,2025102300,2.84217094304e-14
Oahu_AES,2025102302,0.0
Oahu_AES,2025102304,0.0
Oahu_AES,2025102306,0.0
Oahu_AES,2025102308,2.84217094304e-14
Oahu_AES,2025102310,0.0
Oahu_AES,2025102312,0.0
Oahu_AES,2025102314,0.0
Oahu_AES,2025102316,2.84217094304e-14
Oahu_AES,2025102318,0.0
Oahu_AES,2025102320,2.84217094304e-14
Oahu_AES,2025102322,0.0
Oahu_AES,2025112300,2.84217094304e-14
Oahu_AES,2025112302,0.0
Oahu_AES,2025112304,0.0
Oahu_AES,2025112306,0.0
Oahu_AES,2025112308,2.84217094304e-14
Oahu_AES,2025112310,0.0
Oahu_AES,2025112312,0.0
Oahu_AES,2025112314,2.84217094304e-14
Oahu_AES,2025112316,0.0
Oahu_AES,2025112318,0.0
Oahu_AES,2025112320,2.84217094304e-14
Oahu_AES,2025112322,0.0
Oahu_AES,2025122300,0.0
Oahu_AES,2025122302,0.0
Oahu_AES,2025122304,2.84217094304e-14
Oahu_AES,2025122306,0.0
Oahu_AES,2025122308,0.0
Oahu_AES,2025122310,0.0
Oahu_AES,2025122312,2.84217094304e-14
Oahu_AES,2025122314,0.0
Oahu_AES,2025122316,0.0
Oahu_AES,2025122318,0.0
Oahu_AES,2025122320,0.0
Oahu_AES,2025122322,2.84217094304e-14
Oahu_AES,2030012300,0.0
Oahu_AES,2030012302,0.0
Oahu_AES,2030012304,2.84217094304e-14
Oahu_AES,2030012306,0.0
Oahu_AES,2030012308,2.84217094304e-14
Oahu_AES,2030012310,0.0
Oahu_AES,2030012312,0.0
Oahu_AES,2030012314,2.84217094304e-14
Oahu_AES,2030012316,0.0
Oahu_AES,2030012318,0.0
Oahu_AES,2030012320,0.0
Oahu_AES,2030012322,2.84217094304e-14
Oahu_AES,2030022300,0.0
Oahu_AES,2030022302,0.0
Oahu_AES,2030022304,0.0
Oahu_AES,2030022306,0.0
Oahu_AES,2030022308,2.84217094304e-14
Oahu_AES,2030022310,0.0
Oahu_AES,2030022312,0.0
Oahu_AES,2030022314,2.84217094304e-14
Oahu_AES,2030022316,0.0
Oahu_AES,2030022318,0.0
Oahu_AES,2030022320,0.0
Oahu_AES,2030022322,2.84217094304e-14
Oahu_AES,2030032300,0.0
Oahu_AES,2030032302,0.0
Oahu_AES,2030032304,0.0
Oahu_AES,2030032306,0.0
Oahu_AES,2030032308,2.84217094304e-14
Oahu_AES,2030032310,0.0
Oahu_AES,2030032312,0.0
Oahu_AES,2030032314,2.84217094304e-14
Oahu_AES,2030032316,0.0
Oahu_AES,2030032318,0.0
Oahu_AES,2030032320,0.0
Oahu_AES,2030032322,2.84217094304e-14
Oahu_AES,2030042300,2.84217094304e-14
Oahu_AES,2030042302,0.0
Oahu_AES,2030042304,0.0
Oahu_AES,2030042306,2.84217094304e-14
Oahu_AES,2030042308,0.0
Oahu_AES,2030042310,2.84217094304e-14
Oahu_AES,2030042312,0.0
Oahu_AES,2030042314,2.84217094304e-14
Oahu_AES,2030042316,0.0
Oahu_AES,2030042318,2.84217094304e-14
Oahu_AES,2030042320,0.0
Oahu_AES,2030042322,0.0
Oahu_AES,2030052300,2.84217094304e-14
Oahu_AES,2030052302,0.0
Oahu_AES,2030052304,0.0
Oahu_AES,2030052306,2.84217094304e-14
Oahu_AES,2030052308,0.0
Oahu_AES,2030052310,0.0
Oahu_AES,2030052312,2.84217094304e-14
Oahu_AES,2030052314,0.0
Oahu_AES,2030052316,2.84217094304e-14
Oahu_AES,2030052318,0.0
Oahu_AES,2030052320,2.84217094304e-14
Oahu_AES,2030052322,0.0
Oahu_AES,2030062300,0.0
Oahu_AES,2030062302,0.0
Oahu_AES,2030062304,0.0
Oahu_AES,2030062306,2.84217094304e-14
Oahu_AES,2030062308,0.0
Oahu_AES,2030062310,2.84217094304e-14
Oahu_AES,2030062312,0.0
Oahu_AES,2030062314,2.84217094304e-14
Oahu_AES,2030062316,0.0
Oahu_AES,2030062318,2.84217094304e-14
Oahu_AES,2030062320,0.0
Oahu_AES,2030062322,0.0
Oahu_AES,2030072300,2.84217094304e-14
Oahu_AES,2030072302,0.0
Oahu_AES,2030072304,0.0
