DemandResponseSpinningReserveUp_index_1	DemandResponseSpinningReserveUp_index_2	DemandResponseSpinningReserveUp_index_3	DemandResponseSpinningReserveUp
contingency	system_wide_balancing_area	2025032304	0.0
contingency	system_wide_balancing_area	2025032306	0.0
contingency	system_wide_balancing_area	2025032308	105.797854677
contingency	system_wide_balancing_area	2025032310	220.015459859
contingency	system_wide_balancing_area	2025032312	228.294400879
contingency	system_wide_balancing_area	2025032314	0.0
contingency	system_wide_balancing_area	2025032316	23.8258996978
contingency	system_wide_balancing_area	2025032318	0.0
contingency	system_wide_balancing_area	2025032320	0.0
contingency	system_wide_balancing_area	2025032322	0.0
contingency	system_wide_balancing_area	2025042300	0.0
contingency	system_wide_balancing_area	2025042302	0.0
contingency	system_wide_balancing_area	2025042304	0.0
contingency	system_wide_balancing_area	2025042306	0.0
contingency	system_wide_balancing_area	2025042308	93.8938635634
contingency	system_wide_balancing_area	2025042310	183.656871521
contingency	system_wide_balancing_area	2025042312	61.6439436645
contingency	system_wide_balancing_area	2025042314	214.443237088
contingency	system_wide_balancing_area	2025042316	0.0
contingency	system_wide_balancing_area	2025042318	0.0
contingency	system_wide_balancing_area	2025042320	0.0
contingency	system_wide_balancing_area	2025042322	0.0
contingency	system_wide_balancing_area	2025052300	82.0253540103
contingency	system_wide_balancing_area	2025052302	109.279354599
contingency	system_wide_balancing_area	2025052304	0.0
contingency	system_wide_balancing_area	2025052306	0.0
contingency	system_wide_balancing_area	2025052308	275.728024708
contingency	system_wide_balancing_area	2025052310	0.0
contingency	system_wide_balancing_area	2025052312	230.991257431
contingency	system_wide_balancing_area	2025052314	132.89635426
contingency	system_wide_balancing_area	2025052316	0.0
contingency	system_wide_balancing_area	2025052318	0.0
contingency	system_wide_balancing_area	2025052320	0.0
contingency	system_wide_balancing_area	2025052322	0.0
contingency	system_wide_balancing_area	2025062300	0.0
contingency	system_wide_balancing_area	2025062302	0.0
contingency	system_wide_balancing_area	2025062304	78.4762837434
contingency	system_wide_balancing_area	2025062306	0.0
contingency	system_wide_balancing_area	2025062308	0.0
contingency	system_wide_balancing_area	2025062310	0.0
contingency	system_wide_balancing_area	2025062312	183.715226722
contingency	system_wide_balancing_area	2025062314	135.85269974
contingency	system_wide_balancing_area	2025062316	0.0
contingency	system_wide_balancing_area	2025062318	0.0
contingency	system_wide_balancing_area	2025062320	0.0
contingency	system_wide_balancing_area	2025062322	0.0
contingency	system_wide_balancing_area	2025072300	0.0
contingency	system_wide_balancing_area	2025072302	131.18691123
contingency	system_wide_balancing_area	2025072304	0.0
contingency	system_wide_balancing_area	2025072306	0.0
contingency	system_wide_balancing_area	2025072308	0.0
contingency	system_wide_balancing_area	2025072310	101.326219554
contingency	system_wide_balancing_area	2025072312	0.0
contingency	system_wide_balancing_area	2025072314	0.0
contingency	system_wide_balancing_area	2025072316	0.0
contingency	system_wide_balancing_area	2025072318	0.0
contingency	system_wide_balancing_area	2025072320	0.0
contingency	system_wide_balancing_area	2025072322	0.0
contingency	system_wide_balancing_area	2025082300	0.0
contingency	system_wide_balancing_area	2025082302	0.0
contingency	system_wide_balancing_area	2025082304	0.0
contingency	system_wide_balancing_area	2025082306	0.0
contingency	system_wide_balancing_area	2025082308	81.7202242674
contingency	system_wide_balancing_area	2025082310	0.0
contingency	system_wide_balancing_area	2025082312	0.0
contingency	system_wide_balancing_area	2025082314	0.0
contingency	system_wide_balancing_area	2025082316	0.0
contingency	system_wide_balancing_area	2025082318	0.0
contingency	system_wide_balancing_area	2025082320	0.0
contingency	system_wide_balancing_area	2025082322	0.0
contingency	system_wide_balancing_area	2025092300	0.0
contingency	system_wide_balancing_area	2025092302	0.0
contingency	system_wide_balancing_area	2025092304	0.0
contingency	system_wide_balancing_area	2025092306	0.0
contingency	system_wide_balancing_area	2025092308	0.0
contingency	system_wide_balancing_area	2025092310	0.0
contingency	system_wide_balancing_area	2025092312	148.532421294
contingency	system_wide_balancing_area	2025092314	0.0
contingency	system_wide_balancing_area	2025092316	54.0349321718
contingency	system_wide_balancing_area	2025092318	0.0
contingency	system_wide_balancing_area	2025092320	0.0
contingency	system_wide_balancing_area	2025092322	0.0
contingency	system_wide_balancing_area	2025102300	0.0
contingency	system_wide_balancing_area	2025102302	0.0
contingency	system_wide_balancing_area	2025102304	0.0
contingency	system_wide_balancing_area	2025102306	0.0
contingency	system_wide_balancing_area	2025102308	113.111422975
contingency	system_wide_balancing_area	2025102310	0.0
contingency	system_wide_balancing_area	2025102312	164.231346591
contingency	system_wide_balancing_area	2025102314	0.0
contingency	system_wide_balancing_area	2025102316	0.0
contingency	system_wide_balancing_area	2025102318	0.0
contingency	system_wide_balancing_area	2025102320	0.0
