DemandResponseSpinningReserveDown_index_1,DemandResponseSpinningReserveDown_index_2,DemandResponseSpinningReserveDown_index_3,DemandResponseSpinningReserveDown
contingency,system_wide_balancing_area,2008091018,1022.7484597999899
contingency,system_wide_balancing_area,2008091020,938.1180474478151
contingency,system_wide_balancing_area,2008091022,733.2691484765962
contingency,system_wide_balancing_area,2008112200,422.82860811824
contingency,system_wide_balancing_area,2008112202,392.6986604054713
contingency,system_wide_balancing_area,2008112204,404.1969092626601
contingency,system_wide_balancing_area,2008112206,628.654209218677
contingency,system_wide_balancing_area,2008112208,759.4252629654723
contingency,system_wide_balancing_area,2008112210,750.360095256247
contingency,system_wide_balancing_area,2008112212,653.618362236972
contingency,system_wide_balancing_area,2008112214,599.6804141694479
contingency,system_wide_balancing_area,2008112216,823.1938510041861
contingency,system_wide_balancing_area,2008112218,875.0415203794856
contingency,system_wide_balancing_area,2008112220,786.8542336845057
contingency,system_wide_balancing_area,2008112222,660.7211573287505
contingency,system_wide_balancing_area,2507011200,556.9506743656912
contingency,system_wide_balancing_area,2507011202,503.82464668191085
contingency,system_wide_balancing_area,2507011204,610.1272580861385
contingency,system_wide_balancing_area,2507011206,853.6520170256124
contingency,system_wide_balancing_area,2507011208,795.1554350434653
contingency,system_wide_balancing_area,2507011210,732.0007290329759
contingency,system_wide_balancing_area,2507011212,744.510573518811
contingency,system_wide_balancing_area,2507011214,745.4794317108386
contingency,system_wide_balancing_area,2507011216,815.2448684895932
contingency,system_wide_balancing_area,2507011218,1001.3338709177915
contingency,system_wide_balancing_area,2507011220,899.556540750207
contingency,system_wide_balancing_area,2507011222,749.3438290861395
contingency,system_wide_balancing_area,2507011900,444.9265396158655
contingency,system_wide_balancing_area,2507011902,233.44314807830196
contingency,system_wide_balancing_area,2507011904,438.4817091324585
contingency,system_wide_balancing_area,2507011906,827.3252781341305
contingency,system_wide_balancing_area,2507011908,757.7802441696996
contingency,system_wide_balancing_area,2507011910,803.7889422812456
contingency,system_wide_balancing_area,2507011912,833.877137912377
contingency,system_wide_balancing_area,2507011914,833.7810105872032
contingency,system_wide_balancing_area,2507011916,932.3704208271033
contingency,system_wide_balancing_area,2507011918,983.4918084646324
contingency,system_wide_balancing_area,2507011920,886.785890613897
contingency,system_wide_balancing_area,2507011922,736.3113660768755
contingency,system_wide_balancing_area,2507021200,508.6311343376527
contingency,system_wide_balancing_area,2507021202,470.7167516246901
contingency,system_wide_balancing_area,2507021204,545.2946333242797
contingency,system_wide_balancing_area,2507021206,787.6363859489245
contingency,system_wide_balancing_area,2507021208,604.6669568717223
contingency,system_wide_balancing_area,2507021210,599.8624241498565
contingency,system_wide_balancing_area,2507021212,739.0772376359992
contingency,system_wide_balancing_area,2507021214,689.5981779900354
contingency,system_wide_balancing_area,2507021216,849.1126616090637
contingency,system_wide_balancing_area,2507021218,1000.4611613412781
contingency,system_wide_balancing_area,2507021220,893.8645349567263
contingency,system_wide_balancing_area,2507021222,695.216441796176
contingency,system_wide_balancing_area,2507050200,581.2211775574067
contingency,system_wide_balancing_area,2507050202,538.1190212507266
contingency,system_wide_balancing_area,2507050204,589.0949572921702
contingency,system_wide_balancing_area,2507050206,833.8124193195454
contingency,system_wide_balancing_area,2507050208,779.4948057584331
contingency,system_wide_balancing_area,2507050210,598.8992677689367
contingency,system_wide_balancing_area,2507050212,714.6177682032121
contingency,system_wide_balancing_area,2507050214,709.8594918396061
contingency,system_wide_balancing_area,2507050216,957.8318602403588
contingency,system_wide_balancing_area,2507050218,993.1497944447119
contingency,system_wide_balancing_area,2507050220,934.435833491518
contingency,system_wide_balancing_area,2507050222,740.4421914057048
contingency,system_wide_balancing_area,2507092200,631.8432608934522
contingency,system_wide_balancing_area,2507092202,598.8208206837562
contingency,system_wide_balancing_area,2507092204,571.0244303771515
contingency,system_wide_balancing_area,2507092206,742.3524557009615
contingency,system_wide_balancing_area,2507092208,753.5187131036728
contingency,system_wide_balancing_area,2507092210,695.0916773932612
contingency,system_wide_balancing_area,2507092212,664.3306286255248
contingency,system_wide_balancing_area,2507092214,881.1799222930823
contingency,system_wide_balancing_area,2507092216,806.6606037052533
contingency,system_wide_balancing_area,2507092218,995.9036779972648
contingency,system_wide_balancing_area,2507092220,911.1732748909047
contingency,system_wide_balancing_area,2507092222,793.3089981962603
contingency,system_wide_balancing_area,2507102700,560.7331254051708
contingency,system_wide_balancing_area,2507102702,574.9659047841332
contingency,system_wide_balancing_area,2507102704,608.430322798474
contingency,system_wide_balancing_area,2507102706,695.749802323738
contingency,system_wide_balancing_area,2507102708,659.9636911190277
contingency,system_wide_balancing_area,2507102710,727.6381263738282
contingency,system_wide_balancing_area,2507102712,863.9716328193094
contingency,system_wide_balancing_area,2507102714,771.1048351170191
contingency,system_wide_balancing_area,2507102716,821.2479301442046
contingency,system_wide_balancing_area,2507102718,979.3706799088756
contingency,system_wide_balancing_area,2507102720,898.5868634429701
contingency,system_wide_balancing_area,2507102722,727.0473741587864
contingency,system_wide_balancing_area,2507121500,554.8023139348622
contingency,system_wide_balancing_area,2507121502,503.69957581882466
contingency,system_wide_balancing_area,2507121504,512.4282330668239
contingency,system_wide_balancing_area,2507121506,695.633403038288
contingency,system_wide_balancing_area,2507121508,747.820220123984
contingency,system_wide_balancing_area,2507121510,759.4139653491482
contingency,system_wide_balancing_area,2507121512,620.5152311788095
contingency,system_wide_balancing_area,2507121514,637.4497520448012
