UNIT_CONTINGENCY_DISPATCH_POINTS_1,UNIT_CONTINGENCY_DISPATCH_POINTS_2,GenIsCommitted
Oahu_AES,2020112302,1.0
Oahu_AES,2020112304,1.0
Oahu_AES,2020112306,1.0
Oahu_AES,2020112308,1.0
Oahu_AES,2020112310,1.0
Oahu_AES,2020112312,1.0
Oahu_AES,2020112314,1.0
Oahu_AES,2020112316,1.0
Oahu_AES,2020112318,1.0
Oahu_AES,2020112320,1.0
Oahu_AES,2020112322,1.0
Oahu_AES,2020122300,1.0
Oahu_AES,2020122302,1.0
Oahu_AES,2020122304,1.0
Oahu_AES,2020122306,1.0
Oahu_AES,2020122308,1.0
Oahu_AES,2020122310,1.0
Oahu_AES,2020122312,1.0
Oahu_AES,2020122314,1.0
Oahu_AES,2020122316,1.0
Oahu_AES,2020122318,1.0
Oahu_AES,2020122320,1.0
Oahu_AES,2020122322,1.0
Oahu_AES,2025012300,1.0
Oahu_AES,2025012302,1.0
Oahu_AES,2025012304,1.0
Oahu_AES,2025012306,1.0
Oahu_AES,2025012308,1.0
Oahu_AES,2025012310,1.0
Oahu_AES,2025012312,1.0
Oahu_AES,2025012314,1.0
Oahu_AES,2025012316,1.0
Oahu_AES,2025012318,1.0
Oahu_AES,2025012320,1.0
Oahu_AES,2025012322,1.0
Oahu_AES,2025022300,1.0
Oahu_AES,2025022302,1.0
Oahu_AES,2025022304,1.0
Oahu_AES,2025022306,1.0
Oahu_AES,2025022308,1.0
Oahu_AES,2025022310,1.0
Oahu_AES,2025022312,1.0
Oahu_AES,2025022314,1.0
Oahu_AES,2025022316,1.0
Oahu_AES,2025022318,1.0
Oahu_AES,2025022320,1.0
Oahu_AES,2025022322,1.0
Oahu_AES,2025032300,1.0
Oahu_AES,2025032302,1.0
Oahu_AES,2025032304,1.0
Oahu_AES,2025032306,1.0
Oahu_AES,2025032308,1.0
Oahu_AES,2025032310,1.0
Oahu_AES,2025032312,1.0
Oahu_AES,2025032314,1.0
Oahu_AES,2025032316,1.0
Oahu_AES,2025032318,1.0
Oahu_AES,2025032320,1.0
Oahu_AES,2025032322,1.0
Oahu_AES,2025042300,1.0
Oahu_AES,2025042302,1.0
Oahu_AES,2025042304,1.0
Oahu_AES,2025042306,1.0
Oahu_AES,2025042308,1.0
Oahu_AES,2025042310,1.0
Oahu_AES,2025042312,1.0
Oahu_AES,2025042314,1.0
Oahu_AES,2025042316,1.0
Oahu_AES,2025042318,1.0
Oahu_AES,2025042320,1.0
Oahu_AES,2025042322,1.0
Oahu_AES,2025052300,1.0
Oahu_AES,2025052302,1.0
Oahu_AES,2025052304,1.0
Oahu_AES,2025052306,1.0
Oahu_AES,2025052308,1.0
Oahu_AES,2025052310,1.0
Oahu_AES,2025052312,1.0
Oahu_AES,2025052314,1.0
Oahu_AES,2025052316,1.0
Oahu_AES,2025052318,1.0
Oahu_AES,2025052320,1.0
Oahu_AES,2025052322,1.0
Oahu_AES,2025062300,1.0
Oahu_AES,2025062302,1.0
Oahu_AES,2025062304,1.0
Oahu_AES,2025062306,1.0
Oahu_AES,2025062308,1.0
Oahu_AES,2025062310,1.0
Oahu_AES,2025062312,1.0
Oahu_AES,2025062314,1.0
Oahu_AES,2025062316,1.0
Oahu_AES,2025062318,1.0
Oahu_AES,2025062320,1.0
Oahu_AES,2025062322,1.0
Oahu_AES,2025072300,1.0
Oahu_AES,2025072302,1.0
Oahu_AES,2025072304,1.0
Oahu_AES,2025072306,1.0
Oahu_AES,2025072308,1.0
Oahu_AES,2025072310,1.0
Oahu_AES,2025072312,1.0
Oahu_AES,2025072314,1.0
Oahu_AES,2025072316,1.0
Oahu_AES,2025072318,1.0
Oahu_AES,2025072320,1.0
Oahu_AES,2025072322,1.0
Oahu_AES,2025082300,1.0
Oahu_AES,2025082302,1.0
Oahu_AES,2025082304,1.0
Oahu_AES,2025082306,1.0
Oahu_AES,2025082308,1.0
Oahu_AES,2025082310,1.0
Oahu_AES,2025082312,1.0
Oahu_AES,2025082314,1.0
Oahu_AES,2025082316,1.0
Oahu_AES,2025082318,1.0
Oahu_AES,2025082320,1.0
Oahu_AES,2025082322,1.0
Oahu_AES,2025092300,1.0
Oahu_AES,2025092302,1.0
Oahu_AES,2025092304,1.0
Oahu_AES,2025092306,1.0
Oahu_AES,2025092308,1.0
Oahu_AES,2025092310,1.0
Oahu_AES,2025092312,1.0
