DemandResponseSpinningReserveUp_index_1,DemandResponseSpinningReserveUp_index_2,DemandResponseSpinningReserveUp_index_3,DemandResponseSpinningReserveUp
contingency,system_wide_balancing_area,2030122318,0.0
contingency,system_wide_balancing_area,2030122320,0.0
contingency,system_wide_balancing_area,2030122322,0.0
contingency,system_wide_balancing_area,2035012300,0.0
contingency,system_wide_balancing_area,2035012302,0.0
contingency,system_wide_balancing_area,2035012304,0.0
contingency,system_wide_balancing_area,2035012306,0.0
contingency,system_wide_balancing_area,2035012308,108.506236738
contingency,system_wide_balancing_area,2035012310,256.788241
contingency,system_wide_balancing_area,2035012312,0.0
contingency,system_wide_balancing_area,2035012314,242.379599818
contingency,system_wide_balancing_area,2035012316,0.0
contingency,system_wide_balancing_area,2035012318,0.0
contingency,system_wide_balancing_area,2035012320,0.0
contingency,system_wide_balancing_area,2035012322,0.0
contingency,system_wide_balancing_area,2035022300,0.0
contingency,system_wide_balancing_area,2035022302,0.0
contingency,system_wide_balancing_area,2035022304,0.0
contingency,system_wide_balancing_area,2035022306,0.0
contingency,system_wide_balancing_area,2035022308,0.0
contingency,system_wide_balancing_area,2035022310,0.0
contingency,system_wide_balancing_area,2035022312,0.0
contingency,system_wide_balancing_area,2035022314,601.794083294
contingency,system_wide_balancing_area,2035022316,240.952520924
contingency,system_wide_balancing_area,2035022318,0.0
contingency,system_wide_balancing_area,2035022320,0.0
contingency,system_wide_balancing_area,2035022322,0.0
contingency,system_wide_balancing_area,2035032300,0.0
contingency,system_wide_balancing_area,2035032302,0.0
contingency,system_wide_balancing_area,2035032304,0.0
contingency,system_wide_balancing_area,2035032306,0.0
contingency,system_wide_balancing_area,2035032308,0.0
contingency,system_wide_balancing_area,2035032310,275.196400402
contingency,system_wide_balancing_area,2035032312,0.0
contingency,system_wide_balancing_area,2035032314,0.0
contingency,system_wide_balancing_area,2035032316,0.0
contingency,system_wide_balancing_area,2035032318,0.0
contingency,system_wide_balancing_area,2035032320,0.0
contingency,system_wide_balancing_area,2035032322,0.0
contingency,system_wide_balancing_area,2035042300,0.0
contingency,system_wide_balancing_area,2035042302,0.0
contingency,system_wide_balancing_area,2035042304,0.0
contingency,system_wide_balancing_area,2035042306,0.0
contingency,system_wide_balancing_area,2035042308,265.900398109
contingency,system_wide_balancing_area,2035042310,0.0
contingency,system_wide_balancing_area,2035042312,0.0
contingency,system_wide_balancing_area,2035042314,285.011034743
contingency,system_wide_balancing_area,2035042316,0.0
contingency,system_wide_balancing_area,2035042318,0.0
contingency,system_wide_balancing_area,2035042320,0.0
contingency,system_wide_balancing_area,2035042322,0.0
contingency,system_wide_balancing_area,2035052300,0.0
contingency,system_wide_balancing_area,2035052302,0.0
contingency,system_wide_balancing_area,2035052304,0.0
contingency,system_wide_balancing_area,2035052306,0.0
contingency,system_wide_balancing_area,2035052308,179.187796939
contingency,system_wide_balancing_area,2035052310,0.0
contingency,system_wide_balancing_area,2035052312,331.99016451
