GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Oahu_CentralTrackingPV_PV_03_X_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_03_X_17_20,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_00_15,2030,CentralTrackingPV,Oahu,SUN,60.3442,0,7.95839e+07
Oahu_CentralTrackingPV_PV_04_B_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_00_15,2045,CentralTrackingPV,Oahu,SUN,5,0,5.72435e+06
Oahu_CentralTrackingPV_PV_04_B_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_15_17,2030,CentralTrackingPV,Oahu,SUN,0.892486,0,1.22724e+06
Oahu_CentralTrackingPV_PV_04_B_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_15_17,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_15_17,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2045,CentralTrackingPV,Oahu,SUN,1.24305,0,1.50328e+06
Oahu_CentralTrackingPV_PV_04_C_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2030,CentralTrackingPV,Oahu,SUN,3.86926,0,5.1073e+06
Oahu_CentralTrackingPV_PV_04_C_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2045,CentralTrackingPV,Oahu,SUN,0.00974292,0,11711.3
Oahu_CentralTrackingPV_PV_04_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2030,CentralTrackingPV,Oahu,SUN,44.0822,0,5.81967e+07
Oahu_CentralTrackingPV_PV_04_X_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_15_17,2030,CentralTrackingPV,Oahu,SUN,1.12603,0,1.5495e+06
Oahu_CentralTrackingPV_PV_04_X_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_15_17,2040,CentralTrackingPV,Oahu,SUN,3.44888,0,4.34592e+06
Oahu_CentralTrackingPV_PV_04_X_15_17,2045,CentralTrackingPV,Oahu,SUN,8.49213,0,1.02085e+07
Oahu_CentralTrackingPV_PV_04_X_17_20,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2045,CentralTrackingPV,Oahu,SUN,11.328,0,1.37201e+07
Oahu_CentralTrackingPV_PV_05_C_00_15,2020,CentralTrackingPV,Oahu,SUN,20,0,4.24589e+07
Oahu_CentralTrackingPV_PV_05_C_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_C_00_15,2030,CentralTrackingPV,Oahu,SUN,1.36923,0,1.80146e+06
Oahu_CentralTrackingPV_PV_05_C_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_C_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_C_00_15,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_X_00_15,2025,CentralTrackingPV,Oahu,SUN,18.293,0,3.14377e+07
Oahu_CentralTrackingPV_PV_05_X_00_15,2030,CentralTrackingPV,Oahu,SUN,15.1953,0,1.99808e+07
Oahu_CentralTrackingPV_PV_05_X_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_X_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_05_X_00_15,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_C_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_C_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_C_00_15,2030,CentralTrackingPV,Oahu,SUN,0.210745,0,275804
Oahu_CentralTrackingPV_PV_06_C_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_C_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_C_00_15,2045,CentralTrackingPV,Oahu,SUN,1,0,1.13475e+06
Oahu_CentralTrackingPV_PV_06_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2045,CentralTrackingPV,Oahu,SUN,3.33148,0,3.77201e+06
Oahu_CentralTrackingPV_PV_06_X_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0
