GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2020,0.9085623456118175,.
Oahu_Tesoro_Hawaii,1990,20.0,.
Oahu_Waiau_10,1973,49.9,.
Oahu_Waiau_3,1947,46.6,.
Oahu_Waiau_4,1950,46.6,.
Oahu_Waiau_5,1959,54.5,.
Oahu_Waiau_6,1961,53.5,.
Oahu_Waiau_7,1966,82.9,.
Oahu_Waiau_8,1968,86.1,.
Oahu_Waiau_9,1973,52.9,.
