GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01,2020032322,0.0
Oahu_CentralTrackingPV_PV_01,2020042300,0.0
Oahu_CentralTrackingPV_PV_01,2020042302,0.0
Oahu_CentralTrackingPV_PV_01,2020042304,0.0
Oahu_CentralTrackingPV_PV_01,2020042306,0.0547927
Oahu_CentralTrackingPV_PV_01,2020042308,0.889374
Oahu_CentralTrackingPV_PV_01,2020042310,0.81339
Oahu_CentralTrackingPV_PV_01,2020042312,0.944898
Oahu_CentralTrackingPV_PV_01,2020042314,0.953425
Oahu_CentralTrackingPV_PV_01,2020042316,0.88557
Oahu_CentralTrackingPV_PV_01,2020042318,0.0669631
Oahu_CentralTrackingPV_PV_01,2020042320,0.0
Oahu_CentralTrackingPV_PV_01,2020042322,0.0
Oahu_CentralTrackingPV_PV_01,2020052300,0.0
Oahu_CentralTrackingPV_PV_01,2020052302,0.0
Oahu_CentralTrackingPV_PV_01,2020052304,0.0
Oahu_CentralTrackingPV_PV_01,2020052306,0.132646
Oahu_CentralTrackingPV_PV_01,2020052308,0.883731
Oahu_CentralTrackingPV_PV_01,2020052310,0.86948
Oahu_CentralTrackingPV_PV_01,2020052312,0.404661
Oahu_CentralTrackingPV_PV_01,2020052314,0.247155
Oahu_CentralTrackingPV_PV_01,2020052316,0.133739
Oahu_CentralTrackingPV_PV_01,2020052318,0.0103231
Oahu_CentralTrackingPV_PV_01,2020052320,0.0
Oahu_CentralTrackingPV_PV_01,2020052322,0.0
Oahu_CentralTrackingPV_PV_01,2020062300,0.0
Oahu_CentralTrackingPV_PV_01,2020062302,0.0
Oahu_CentralTrackingPV_PV_01,2020062304,0.0
Oahu_CentralTrackingPV_PV_01,2020062306,0.137345
Oahu_CentralTrackingPV_PV_01,2020062308,0.703576
Oahu_CentralTrackingPV_PV_01,2020062310,0.889714
Oahu_CentralTrackingPV_PV_01,2020062312,0.991495
Oahu_CentralTrackingPV_PV_01,2020062314,0.850876
Oahu_CentralTrackingPV_PV_01,2020062316,0.66774
Oahu_CentralTrackingPV_PV_01,2020062318,0.209811
Oahu_CentralTrackingPV_PV_01,2020062320,0.0
Oahu_CentralTrackingPV_PV_01,2020062322,0.0
Oahu_CentralTrackingPV_PV_01,2020072300,0.0
Oahu_CentralTrackingPV_PV_01,2020072302,0.0
Oahu_CentralTrackingPV_PV_01,2020072304,0.0
Oahu_CentralTrackingPV_PV_01,2020072306,0.074153
Oahu_CentralTrackingPV_PV_01,2020072308,0.352516
Oahu_CentralTrackingPV_PV_01,2020072310,0.463714
Oahu_CentralTrackingPV_PV_01,2020072312,0.767353
Oahu_CentralTrackingPV_PV_01,2020072314,0.73365
Oahu_CentralTrackingPV_PV_01,2020072316,0.463832
Oahu_CentralTrackingPV_PV_01,2020072318,0.181296
Oahu_CentralTrackingPV_PV_01,2020072320,0.0
Oahu_CentralTrackingPV_PV_01,2020072322,0.0
Oahu_CentralTrackingPV_PV_01,2020082300,0.0
Oahu_CentralTrackingPV_PV_01,2020082302,0.0
Oahu_CentralTrackingPV_PV_01,2020082304,0.0
Oahu_CentralTrackingPV_PV_01,2020082306,0.0255778
Oahu_CentralTrackingPV_PV_01,2020082308,0.914548
Oahu_CentralTrackingPV_PV_01,2020082310,0.33089
Oahu_CentralTrackingPV_PV_01,2020082312,0.83407
Oahu_CentralTrackingPV_PV_01,2020082314,0.964821
Oahu_CentralTrackingPV_PV_01,2020082316,0.301764
Oahu_CentralTrackingPV_PV_01,2020082318,0.064942
Oahu_CentralTrackingPV_PV_01,2020082320,0.0
Oahu_CentralTrackingPV_PV_01,2020082322,0.0
Oahu_CentralTrackingPV_PV_01,2020092300,0.0
Oahu_CentralTrackingPV_PV_01,2020092302,0.0
Oahu_CentralTrackingPV_PV_01,2020092304,0.0
Oahu_CentralTrackingPV_PV_01,2020092306,0.0064576
Oahu_CentralTrackingPV_PV_01,2020092308,0.904855
Oahu_CentralTrackingPV_PV_01,2020092310,0.824788
Oahu_CentralTrackingPV_PV_01,2020092312,0.693933
Oahu_CentralTrackingPV_PV_01,2020092314,0.566612
Oahu_CentralTrackingPV_PV_01,2020092316,0.606946
Oahu_CentralTrackingPV_PV_01,2020092318,0.0
Oahu_CentralTrackingPV_PV_01,2020092320,0.0
Oahu_CentralTrackingPV_PV_01,2020092322,0.0
Oahu_CentralTrackingPV_PV_01,2020102300,0.0
Oahu_CentralTrackingPV_PV_01,2020102302,0.0
Oahu_CentralTrackingPV_PV_01,2020102304,0.0
Oahu_CentralTrackingPV_PV_01,2020102306,0.0
Oahu_CentralTrackingPV_PV_01,2020102308,0.842768
Oahu_CentralTrackingPV_PV_01,2020102310,0.866658
Oahu_CentralTrackingPV_PV_01,2020102312,0.91335
Oahu_CentralTrackingPV_PV_01,2020102314,0.884532
Oahu_CentralTrackingPV_PV_01,2020102316,0.650713
Oahu_CentralTrackingPV_PV_01,2020102318,0.0
Oahu_CentralTrackingPV_PV_01,2020102320,0.0
Oahu_CentralTrackingPV_PV_01,2020102322,0.0
Oahu_CentralTrackingPV_PV_01,2020112300,0.0
Oahu_CentralTrackingPV_PV_01,2020112302,0.0
Oahu_CentralTrackingPV_PV_01,2020112304,0.0
Oahu_CentralTrackingPV_PV_01,2020112306,0.0
Oahu_CentralTrackingPV_PV_01,2020112308,0.361542
Oahu_CentralTrackingPV_PV_01,2020112310,0.398006
Oahu_CentralTrackingPV_PV_01,2020112312,0.475822
Oahu_CentralTrackingPV_PV_01,2020112314,0.344049
Oahu_CentralTrackingPV_PV_01,2020112316,0.317075
Oahu_CentralTrackingPV_PV_01,2020112318,0.0
Oahu_CentralTrackingPV_PV_01,2020112320,0.0
Oahu_CentralTrackingPV_PV_01,2020112322,0.0
Oahu_CentralTrackingPV_PV_01,2020122300,0.0
Oahu_CentralTrackingPV_PV_01,2020122302,0.0
Oahu_CentralTrackingPV_PV_01,2020122304,0.0
Oahu_CentralTrackingPV_PV_01,2020122306,0.0
Oahu_CentralTrackingPV_PV_01,2020122308,0.129499
Oahu_CentralTrackingPV_PV_01,2020122310,0.611947
Oahu_CentralTrackingPV_PV_01,2020122312,0.558156
Oahu_CentralTrackingPV_PV_01,2020122314,0.811365
Oahu_CentralTrackingPV_PV_01,2020122316,0.553001
Oahu_CentralTrackingPV_PV_01,2020122318,0.0
Oahu_CentralTrackingPV_PV_01,2020122320,0.0
Oahu_CentralTrackingPV_PV_01,2020122322,0.0
Oahu_CentralTrackingPV_PV_01,2025012300,0.0
Oahu_CentralTrackingPV_PV_01,2025012302,0.0
Oahu_CentralTrackingPV_PV_01,2025012304,0.0
Oahu_CentralTrackingPV_PV_01,2025012306,0.0
Oahu_CentralTrackingPV_PV_01,2025012308,0.151647
Oahu_CentralTrackingPV_PV_01,2025012310,0.354326
Oahu_CentralTrackingPV_PV_01,2025012312,0.511081
Oahu_CentralTrackingPV_PV_01,2025012314,0.51513
Oahu_CentralTrackingPV_PV_01,2025012316,0.215501
Oahu_CentralTrackingPV_PV_01,2025012318,0.0
Oahu_CentralTrackingPV_PV_01,2025012320,0.0
Oahu_CentralTrackingPV_PV_01,2025012322,0.0
Oahu_CentralTrackingPV_PV_01,2025022300,0.0
Oahu_CentralTrackingPV_PV_01,2025022302,0.0
Oahu_CentralTrackingPV_PV_01,2025022304,0.0
Oahu_CentralTrackingPV_PV_01,2025022306,0.0
Oahu_CentralTrackingPV_PV_01,2025022308,0.626264
Oahu_CentralTrackingPV_PV_01,2025022310,0.437371
Oahu_CentralTrackingPV_PV_01,2025022312,0.867762
Oahu_CentralTrackingPV_PV_01,2025022314,0.886085
Oahu_CentralTrackingPV_PV_01,2025022316,0.866771
Oahu_CentralTrackingPV_PV_01,2025022318,0.0
Oahu_CentralTrackingPV_PV_01,2025022320,0.0
Oahu_CentralTrackingPV_PV_01,2025022322,0.0
Oahu_CentralTrackingPV_PV_01,2025032300,0.0
Oahu_CentralTrackingPV_PV_01,2025032302,0.0
Oahu_CentralTrackingPV_PV_01,2025032304,0.0
Oahu_CentralTrackingPV_PV_01,2025032306,0.0
Oahu_CentralTrackingPV_PV_01,2025032308,0.884049
Oahu_CentralTrackingPV_PV_01,2025032310,0.93794
Oahu_CentralTrackingPV_PV_01,2025032312,0.978435
Oahu_CentralTrackingPV_PV_01,2025032314,1.0
Oahu_CentralTrackingPV_PV_01,2025032316,0.63167
Oahu_CentralTrackingPV_PV_01,2025032318,0.0232282
Oahu_CentralTrackingPV_PV_01,2025032320,0.0
Oahu_CentralTrackingPV_PV_01,2025032322,0.0
Oahu_CentralTrackingPV_PV_01,2025042300,0.0
Oahu_CentralTrackingPV_PV_01,2025042302,0.0
Oahu_CentralTrackingPV_PV_01,2025042304,0.0
Oahu_CentralTrackingPV_PV_01,2025042306,0.0547927
Oahu_CentralTrackingPV_PV_01,2025042308,0.889374
Oahu_CentralTrackingPV_PV_01,2025042310,0.81339
Oahu_CentralTrackingPV_PV_01,2025042312,0.944898
Oahu_CentralTrackingPV_PV_01,2025042314,0.953425
Oahu_CentralTrackingPV_PV_01,2025042316,0.88557
Oahu_CentralTrackingPV_PV_01,2025042318,0.0669631
Oahu_CentralTrackingPV_PV_01,2025042320,0.0
Oahu_CentralTrackingPV_PV_01,2025042322,0.0
Oahu_CentralTrackingPV_PV_01,2025052300,0.0
Oahu_CentralTrackingPV_PV_01,2025052302,0.0
Oahu_CentralTrackingPV_PV_01,2025052304,0.0
Oahu_CentralTrackingPV_PV_01,2025052306,0.132646
Oahu_CentralTrackingPV_PV_01,2025052308,0.883731
Oahu_CentralTrackingPV_PV_01,2025052310,0.86948
Oahu_CentralTrackingPV_PV_01,2025052312,0.404661
Oahu_CentralTrackingPV_PV_01,2025052314,0.247155
Oahu_CentralTrackingPV_PV_01,2025052316,0.133739
Oahu_CentralTrackingPV_PV_01,2025052318,0.0103231
Oahu_CentralTrackingPV_PV_01,2025052320,0.0
Oahu_CentralTrackingPV_PV_01,2025052322,0.0
Oahu_CentralTrackingPV_PV_01,2025062300,0.0
Oahu_CentralTrackingPV_PV_01,2025062302,0.0
Oahu_CentralTrackingPV_PV_01,2025062304,0.0
Oahu_CentralTrackingPV_PV_01,2025062306,0.137345
Oahu_CentralTrackingPV_PV_01,2025062308,0.703576
Oahu_CentralTrackingPV_PV_01,2025062310,0.889714
Oahu_CentralTrackingPV_PV_01,2025062312,0.991495
Oahu_CentralTrackingPV_PV_01,2025062314,0.850876
Oahu_CentralTrackingPV_PV_01,2025062316,0.66774
Oahu_CentralTrackingPV_PV_01,2025062318,0.209811
Oahu_CentralTrackingPV_PV_01,2025062320,0.0
Oahu_CentralTrackingPV_PV_01,2025062322,0.0
Oahu_CentralTrackingPV_PV_01,2025072300,0.0
Oahu_CentralTrackingPV_PV_01,2025072302,0.0
Oahu_CentralTrackingPV_PV_01,2025072304,0.0
Oahu_CentralTrackingPV_PV_01,2025072306,0.074153
Oahu_CentralTrackingPV_PV_01,2025072308,0.352516
Oahu_CentralTrackingPV_PV_01,2025072310,0.463714
Oahu_CentralTrackingPV_PV_01,2025072312,0.767353
Oahu_CentralTrackingPV_PV_01,2025072314,0.73365
Oahu_CentralTrackingPV_PV_01,2025072316,0.463832
Oahu_CentralTrackingPV_PV_01,2025072318,0.181296
Oahu_CentralTrackingPV_PV_01,2025072320,0.0
Oahu_CentralTrackingPV_PV_01,2025072322,0.0
Oahu_CentralTrackingPV_PV_01,2025082300,0.0
Oahu_CentralTrackingPV_PV_01,2025082302,0.0
Oahu_CentralTrackingPV_PV_01,2025082304,0.0
Oahu_CentralTrackingPV_PV_01,2025082306,0.0255778
Oahu_CentralTrackingPV_PV_01,2025082308,0.914548
Oahu_CentralTrackingPV_PV_01,2025082310,0.33089
Oahu_CentralTrackingPV_PV_01,2025082312,0.83407
Oahu_CentralTrackingPV_PV_01,2025082314,0.964821
Oahu_CentralTrackingPV_PV_01,2025082316,0.301764
Oahu_CentralTrackingPV_PV_01,2025082318,0.064942
Oahu_CentralTrackingPV_PV_01,2025082320,0.0
Oahu_CentralTrackingPV_PV_01,2025082322,0.0
Oahu_CentralTrackingPV_PV_01,2025092300,0.0
Oahu_CentralTrackingPV_PV_01,2025092302,0.0
Oahu_CentralTrackingPV_PV_01,2025092304,0.0
Oahu_CentralTrackingPV_PV_01,2025092306,0.0064576
Oahu_CentralTrackingPV_PV_01,2025092308,0.904855
Oahu_CentralTrackingPV_PV_01,2025092310,0.824788
Oahu_CentralTrackingPV_PV_01,2025092312,0.693933
Oahu_CentralTrackingPV_PV_01,2025092314,0.566612
Oahu_CentralTrackingPV_PV_01,2025092316,0.606946
Oahu_CentralTrackingPV_PV_01,2025092318,0.0
Oahu_CentralTrackingPV_PV_01,2025092320,0.0
Oahu_CentralTrackingPV_PV_01,2025092322,0.0
Oahu_CentralTrackingPV_PV_01,2025102300,0.0
Oahu_CentralTrackingPV_PV_01,2025102302,0.0
Oahu_CentralTrackingPV_PV_01,2025102304,0.0
Oahu_CentralTrackingPV_PV_01,2025102306,0.0
Oahu_CentralTrackingPV_PV_01,2025102308,0.842768
Oahu_CentralTrackingPV_PV_01,2025102310,0.866658
Oahu_CentralTrackingPV_PV_01,2025102312,0.91335
Oahu_CentralTrackingPV_PV_01,2025102314,0.884532
Oahu_CentralTrackingPV_PV_01,2025102316,0.650713
Oahu_CentralTrackingPV_PV_01,2025102318,0.0
Oahu_CentralTrackingPV_PV_01,2025102320,0.0
Oahu_CentralTrackingPV_PV_01,2025102322,0.0
Oahu_CentralTrackingPV_PV_01,2025112300,0.0
Oahu_CentralTrackingPV_PV_01,2025112302,0.0
Oahu_CentralTrackingPV_PV_01,2025112304,0.0
Oahu_CentralTrackingPV_PV_01,2025112306,0.0
Oahu_CentralTrackingPV_PV_01,2025112308,0.361542
Oahu_CentralTrackingPV_PV_01,2025112310,0.398006
Oahu_CentralTrackingPV_PV_01,2025112312,0.475822
Oahu_CentralTrackingPV_PV_01,2025112314,0.344049
Oahu_CentralTrackingPV_PV_01,2025112316,0.317075
Oahu_CentralTrackingPV_PV_01,2025112318,0.0
Oahu_CentralTrackingPV_PV_01,2025112320,0.0
Oahu_CentralTrackingPV_PV_01,2025112322,0.0
Oahu_CentralTrackingPV_PV_01,2025122300,0.0
Oahu_CentralTrackingPV_PV_01,2025122302,0.0
Oahu_CentralTrackingPV_PV_01,2025122304,0.0
Oahu_CentralTrackingPV_PV_01,2025122306,0.0
Oahu_CentralTrackingPV_PV_01,2025122308,0.129499
Oahu_CentralTrackingPV_PV_01,2025122310,0.611947
Oahu_CentralTrackingPV_PV_01,2025122312,0.558156
Oahu_CentralTrackingPV_PV_01,2025122314,0.811365
Oahu_CentralTrackingPV_PV_01,2025122316,0.553001
Oahu_CentralTrackingPV_PV_01,2025122318,0.0
Oahu_CentralTrackingPV_PV_01,2025122320,0.0
Oahu_CentralTrackingPV_PV_01,2025122322,0.0
Oahu_CentralTrackingPV_PV_01,2030012300,0.0
Oahu_CentralTrackingPV_PV_01,2030012302,0.0
Oahu_CentralTrackingPV_PV_01,2030012304,0.0
Oahu_CentralTrackingPV_PV_01,2030012306,0.0
Oahu_CentralTrackingPV_PV_01,2030012308,0.151647
Oahu_CentralTrackingPV_PV_01,2030012310,0.354326
Oahu_CentralTrackingPV_PV_01,2030012312,0.511081
Oahu_CentralTrackingPV_PV_01,2030012314,0.51513
Oahu_CentralTrackingPV_PV_01,2030012316,0.215501
Oahu_CentralTrackingPV_PV_01,2030012318,0.0
Oahu_CentralTrackingPV_PV_01,2030012320,0.0
Oahu_CentralTrackingPV_PV_01,2030012322,0.0
Oahu_CentralTrackingPV_PV_01,2030022300,0.0
Oahu_CentralTrackingPV_PV_01,2030022302,0.0
Oahu_CentralTrackingPV_PV_01,2030022304,0.0
Oahu_CentralTrackingPV_PV_01,2030022306,0.0
Oahu_CentralTrackingPV_PV_01,2030022308,0.626264
Oahu_CentralTrackingPV_PV_01,2030022310,0.437371
Oahu_CentralTrackingPV_PV_01,2030022312,0.867762
Oahu_CentralTrackingPV_PV_01,2030022314,0.886085
Oahu_CentralTrackingPV_PV_01,2030022316,0.866771
Oahu_CentralTrackingPV_PV_01,2030022318,0.0
Oahu_CentralTrackingPV_PV_01,2030022320,0.0
Oahu_CentralTrackingPV_PV_01,2030022322,0.0
Oahu_CentralTrackingPV_PV_01,2030032300,0.0
Oahu_CentralTrackingPV_PV_01,2030032302,0.0
Oahu_CentralTrackingPV_PV_01,2030032304,0.0
Oahu_CentralTrackingPV_PV_01,2030032306,0.0
Oahu_CentralTrackingPV_PV_01,2030032308,0.884049
Oahu_CentralTrackingPV_PV_01,2030032310,0.93794
Oahu_CentralTrackingPV_PV_01,2030032312,0.978435
Oahu_CentralTrackingPV_PV_01,2030032314,1.0
Oahu_CentralTrackingPV_PV_01,2030032316,0.63167
Oahu_CentralTrackingPV_PV_01,2030032318,0.0232282
Oahu_CentralTrackingPV_PV_01,2030032320,0.0
Oahu_CentralTrackingPV_PV_01,2030032322,0.0
Oahu_CentralTrackingPV_PV_01,2030042300,0.0
Oahu_CentralTrackingPV_PV_01,2030042302,0.0
Oahu_CentralTrackingPV_PV_01,2030042304,0.0
Oahu_CentralTrackingPV_PV_01,2030042306,0.0547927
Oahu_CentralTrackingPV_PV_01,2030042308,0.889374
Oahu_CentralTrackingPV_PV_01,2030042310,0.81339
Oahu_CentralTrackingPV_PV_01,2030042312,0.944898
Oahu_CentralTrackingPV_PV_01,2030042314,0.953425
Oahu_CentralTrackingPV_PV_01,2030042316,0.88557
Oahu_CentralTrackingPV_PV_01,2030042318,0.0669631
Oahu_CentralTrackingPV_PV_01,2030042320,0.0
Oahu_CentralTrackingPV_PV_01,2030042322,0.0
Oahu_CentralTrackingPV_PV_01,2030052300,0.0
Oahu_CentralTrackingPV_PV_01,2030052302,0.0
Oahu_CentralTrackingPV_PV_01,2030052304,0.0
Oahu_CentralTrackingPV_PV_01,2030052306,0.132646
Oahu_CentralTrackingPV_PV_01,2030052308,0.883731
Oahu_CentralTrackingPV_PV_01,2030052310,0.86948
Oahu_CentralTrackingPV_PV_01,2030052312,0.404661
Oahu_CentralTrackingPV_PV_01,2030052314,0.247155
Oahu_CentralTrackingPV_PV_01,2030052316,0.133739
Oahu_CentralTrackingPV_PV_01,2030052318,0.0103231
Oahu_CentralTrackingPV_PV_01,2030052320,0.0
Oahu_CentralTrackingPV_PV_01,2030052322,0.0
Oahu_CentralTrackingPV_PV_01,2030062300,0.0
Oahu_CentralTrackingPV_PV_01,2030062302,0.0
Oahu_CentralTrackingPV_PV_01,2030062304,0.0
Oahu_CentralTrackingPV_PV_01,2030062306,0.137345
Oahu_CentralTrackingPV_PV_01,2030062308,0.703576
Oahu_CentralTrackingPV_PV_01,2030062310,0.889714
Oahu_CentralTrackingPV_PV_01,2030062312,0.991495
Oahu_CentralTrackingPV_PV_01,2030062314,0.850876
Oahu_CentralTrackingPV_PV_01,2030062316,0.66774
Oahu_CentralTrackingPV_PV_01,2030062318,0.209811
Oahu_CentralTrackingPV_PV_01,2030062320,0.0
Oahu_CentralTrackingPV_PV_01,2030062322,0.0
Oahu_CentralTrackingPV_PV_01,2030072300,0.0
Oahu_CentralTrackingPV_PV_01,2030072302,0.0
Oahu_CentralTrackingPV_PV_01,2030072304,0.0
Oahu_CentralTrackingPV_PV_01,2030072306,0.074153
Oahu_CentralTrackingPV_PV_01,2030072308,0.352516
Oahu_CentralTrackingPV_PV_01,2030072310,0.463714
Oahu_CentralTrackingPV_PV_01,2030072312,0.767353
Oahu_CentralTrackingPV_PV_01,2030072314,0.73365
Oahu_CentralTrackingPV_PV_01,2030072316,0.463832
Oahu_CentralTrackingPV_PV_01,2030072318,0.181296
Oahu_CentralTrackingPV_PV_01,2030072320,0.0
Oahu_CentralTrackingPV_PV_01,2030072322,0.0
Oahu_CentralTrackingPV_PV_01,2030082300,0.0
Oahu_CentralTrackingPV_PV_01,2030082302,0.0
Oahu_CentralTrackingPV_PV_01,2030082304,0.0
Oahu_CentralTrackingPV_PV_01,2030082306,0.0255778
Oahu_CentralTrackingPV_PV_01,2030082308,0.914548
Oahu_CentralTrackingPV_PV_01,2030082310,0.33089
Oahu_CentralTrackingPV_PV_01,2030082312,0.83407
Oahu_CentralTrackingPV_PV_01,2030082314,0.964821
Oahu_CentralTrackingPV_PV_01,2030082316,0.301764
Oahu_CentralTrackingPV_PV_01,2030082318,0.064942
Oahu_CentralTrackingPV_PV_01,2030082320,0.0
Oahu_CentralTrackingPV_PV_01,2030082322,0.0
Oahu_CentralTrackingPV_PV_01,2030092300,0.0
Oahu_CentralTrackingPV_PV_01,2030092302,0.0
Oahu_CentralTrackingPV_PV_01,2030092304,0.0
Oahu_CentralTrackingPV_PV_01,2030092306,0.0064576
Oahu_CentralTrackingPV_PV_01,2030092308,0.904855
Oahu_CentralTrackingPV_PV_01,2030092310,0.824788
Oahu_CentralTrackingPV_PV_01,2030092312,0.693933
Oahu_CentralTrackingPV_PV_01,2030092314,0.566612
Oahu_CentralTrackingPV_PV_01,2030092316,0.606946
Oahu_CentralTrackingPV_PV_01,2030092318,0.0
Oahu_CentralTrackingPV_PV_01,2030092320,0.0
Oahu_CentralTrackingPV_PV_01,2030092322,0.0
Oahu_CentralTrackingPV_PV_01,2030102300,0.0
Oahu_CentralTrackingPV_PV_01,2030102302,0.0
Oahu_CentralTrackingPV_PV_01,2030102304,0.0
Oahu_CentralTrackingPV_PV_01,2030102306,0.0
Oahu_CentralTrackingPV_PV_01,2030102308,0.842768
Oahu_CentralTrackingPV_PV_01,2030102310,0.866658
Oahu_CentralTrackingPV_PV_01,2030102312,0.91335
Oahu_CentralTrackingPV_PV_01,2030102314,0.884532
Oahu_CentralTrackingPV_PV_01,2030102316,0.650713
Oahu_CentralTrackingPV_PV_01,2030102318,0.0
Oahu_CentralTrackingPV_PV_01,2030102320,0.0
Oahu_CentralTrackingPV_PV_01,2030102322,0.0
Oahu_CentralTrackingPV_PV_01,2030112300,0.0
Oahu_CentralTrackingPV_PV_01,2030112302,0.0
Oahu_CentralTrackingPV_PV_01,2030112304,0.0
Oahu_CentralTrackingPV_PV_01,2030112306,0.0
Oahu_CentralTrackingPV_PV_01,2030112308,0.361542
Oahu_CentralTrackingPV_PV_01,2030112310,0.398006
Oahu_CentralTrackingPV_PV_01,2030112312,0.475822
Oahu_CentralTrackingPV_PV_01,2030112314,0.344049
Oahu_CentralTrackingPV_PV_01,2030112316,0.317075
Oahu_CentralTrackingPV_PV_01,2030112318,0.0
Oahu_CentralTrackingPV_PV_01,2030112320,0.0
Oahu_CentralTrackingPV_PV_01,2030112322,0.0
Oahu_CentralTrackingPV_PV_01,2030122300,0.0
Oahu_CentralTrackingPV_PV_01,2030122302,0.0
Oahu_CentralTrackingPV_PV_01,2030122304,0.0
Oahu_CentralTrackingPV_PV_01,2030122306,0.0
Oahu_CentralTrackingPV_PV_01,2030122308,0.129499
Oahu_CentralTrackingPV_PV_01,2030122310,0.611947
Oahu_CentralTrackingPV_PV_01,2030122312,0.558156
Oahu_CentralTrackingPV_PV_01,2030122314,0.811365
Oahu_CentralTrackingPV_PV_01,2030122316,0.553001
Oahu_CentralTrackingPV_PV_01,2030122318,0.0
Oahu_CentralTrackingPV_PV_01,2030122320,0.0
Oahu_CentralTrackingPV_PV_01,2030122322,0.0
Oahu_CentralTrackingPV_PV_01,2035012300,0.0
Oahu_CentralTrackingPV_PV_01,2035012302,0.0
Oahu_CentralTrackingPV_PV_01,2035012304,0.0
Oahu_CentralTrackingPV_PV_01,2035012306,0.0
Oahu_CentralTrackingPV_PV_01,2035012308,0.151647
Oahu_CentralTrackingPV_PV_01,2035012310,0.354326
Oahu_CentralTrackingPV_PV_01,2035012312,0.511081
Oahu_CentralTrackingPV_PV_01,2035012314,0.51513
Oahu_CentralTrackingPV_PV_01,2035012316,0.215501
Oahu_CentralTrackingPV_PV_01,2035012318,0.0
Oahu_CentralTrackingPV_PV_01,2035012320,0.0
Oahu_CentralTrackingPV_PV_01,2035012322,0.0
Oahu_CentralTrackingPV_PV_01,2035022300,0.0
Oahu_CentralTrackingPV_PV_01,2035022302,0.0
Oahu_CentralTrackingPV_PV_01,2035022304,0.0
Oahu_CentralTrackingPV_PV_01,2035022306,0.0
Oahu_CentralTrackingPV_PV_01,2035022308,0.626264
Oahu_CentralTrackingPV_PV_01,2035022310,0.437371
Oahu_CentralTrackingPV_PV_01,2035022312,0.867762
Oahu_CentralTrackingPV_PV_01,2035022314,0.886085
Oahu_CentralTrackingPV_PV_01,2035022316,0.866771
Oahu_CentralTrackingPV_PV_01,2035022318,0.0
Oahu_CentralTrackingPV_PV_01,2035022320,0.0
Oahu_CentralTrackingPV_PV_01,2035022322,0.0
Oahu_CentralTrackingPV_PV_01,2035032300,0.0
Oahu_CentralTrackingPV_PV_01,2035032302,0.0
Oahu_CentralTrackingPV_PV_01,2035032304,0.0
Oahu_CentralTrackingPV_PV_01,2035032306,0.0
Oahu_CentralTrackingPV_PV_01,2035032308,0.884049
Oahu_CentralTrackingPV_PV_01,2035032310,0.93794
Oahu_CentralTrackingPV_PV_01,2035032312,0.978435
Oahu_CentralTrackingPV_PV_01,2035032314,1.0
Oahu_CentralTrackingPV_PV_01,2035032316,0.63167
Oahu_CentralTrackingPV_PV_01,2035032318,0.0232282
Oahu_CentralTrackingPV_PV_01,2035032320,0.0
Oahu_CentralTrackingPV_PV_01,2035032322,0.0
Oahu_CentralTrackingPV_PV_01,2035042300,0.0
Oahu_CentralTrackingPV_PV_01,2035042302,0.0
Oahu_CentralTrackingPV_PV_01,2035042304,0.0
Oahu_CentralTrackingPV_PV_01,2035042306,0.0547927
